CONST;STAR;SAO#;RA2K_H;RA2K_M;RA2K_S;DEC2K_SIGN;DEC2K_D;DEC2K_M;DEC2K_S;VARTYPE;MagMax;MagMin;PERIOD_Days;DESCRIPTION
Cygnus;TT Cyg;;19;40;57;+;32;37;6;SRB;10,2;11,9;118;Red Carbon Star
Cygnus;Chi Cyg;68943;19;50;33,9;+;32;54;51;M;3,3;14,2;408,05;One of the first stars to be identified as a variable, by Gottfried Kirch in 1686.
Cygnus;RY Cyg;;20;10;23,4;+;35;56;49;LB;8,5;10,3;;Red Carbon Star
Cygnus;P Cyg;69773;20;17;47,2;+;38;1;59;SDOR;3;6;;"Blue supergiant evolving into a red supergiant.  Erratic variable; varies from mag 3 to mag 6, but it has been gradually brightening since the 18th century."
Cygnus;U Cyg;;20;19;36,6;+;47;53;39;M;5,9;12,1;463,24;Red Carbon Star
Cygnus;V460 Cyg;71613;21;42;1,1;+;35;30;37;SRB;5,57;7;180;An unresolved binary believed to harbor a Black Hole.
Cygnus;SS Cyg;;21;42;42,8;+;43;35;10;UGSS;7,7;12,4;49,5;"An unusual ""cataclysmic"" variable that is a binary pair of dwarf stars.  The system is normally at mag 11 - 12, but approximately every 25 days it flares up 4 magnitudes for a few days, then returns to its former magnitude."
Draco;RY Dra;15945;12;56;25,9;+;65;59;40;SRB:;6,03;8;200;Variable red giant
Draco;R Dra;17137;16;32;40,2;+;66;45;18;M;6,7;13,2;245,6;Long-period Mira-type variable (pulsating cool red giant).
Draco;UX Dra;9404;19;21;35,5;+;76;33;35;SRA:;5,94;7,1;168;Red Carbon Star
Gemini;Eta Gem;78135;6;14;52,7;+;22;30;24;SRA+EA;3,15;3,9;232,9;"A red giant semi-regular variable.  Also a binary - the secondary is mag 8.8 with a separation of only 1.4""."
Gemini;Zeta Gem;79031;7;4;6,5;+;20;34;13;DCEP;3,62;4,18;10,15073;One of the brightest Cepheid variables.
Gemini;U Gem;;7;55;5,2;+;22;0;5;UGSS+E;8,2;14,9;105,2;An extremely close (a few hundred thousand miles, center-to-center) binary system and a cataclysmic variable: normally at mag 14 but brightens to mag 9 unpredictably, in a period varying from 62 to 257 days.
Hercules;Alpha Her, Ras Algethi;102680;17;14;38,9;+;14;23;25;SRC;2,74;4;;"The primary is a semiregular (average period of 90 days) pulsating red supergiant and one of the largest naked-eye stars known, at 400X to 600X the sun's diameter.  It has a companion - a close (blue) binary, mag 5.4, with a separation of 4.8"" and an orbital period of 3,600 years.  The primary is surrounded by an expanding shell of very tenuous gas, which engulfs the companion."
Hydra;Y Hya;178088;9;51;3,7;-;23;1;2;SRB;8,3;12;302,8;Red Carbon Star
Hydra;U Hya;156110;10;37;33,3;-;13;23;4;SRB;7;9,4;450;Red Carbon Star
