# RASC Double Star Observing Program Checklist;;;;;;;;;;;;;
# Version 6.0a. Edited on 10 July 2021.;;;;;;;;;;;;;
Target;Alternate ID;SAO;HIP;WDS;Con;MagC;RA 2000;Dec 2000;Mm;X;PSA;Seen?;Season
Delta Boo;49 Boo, Thiba;SAO 64589;HIP 74666;STFA 27;Boo;3,6;15 15.5;+33 19;100;25;53;q;Spring 2
Alkalurops;Mu 1 Boo, 51 Boo;SAO 64686;HIP 75411;STFA 28;Boo;4,2;15 24.5;+37 23;90;25;53;q;Spring 2
HR 5397;HD 126367, BU 225;SAO 158558;HIP 70518;SHJ 179;Lib;6,1;14 25.5;-19 58;100;25;46;q;Spring 2
Zuben Elgenubi;Alpha 2 Lib, 9 Lib;SAO 158840;HIP 72622;SHJ 186;Lib;2,6;14 50.9;-16 03;35;7;46;q;Spring 2
HR 5816;HD 139461;SAO 140672;HIP 76603;STF1962;Lib;5,7;15 38.7;-08 47;90;70;57;q;Spring 2
HD 139691;TYC 2577-01756-1;SAO 64821;HIP 76563;HU 1167;CrB;7,3;15 38.2;+36 15;100;70;53;q;Spring 2
Sigma CrB;17 CrB, TZ Crb;SAO 65165;HIP 79607;STF2032;CrB;5,2;16 14.7;+33 51;150;100;53;q;Spring 2
HR 6043;HD 145802;SAO 65129;HIP 79350;STT 305;CrB;6,4;16 11.7;+33 21;90;100;53;q;Spring 2
Theta 1 Ser;Alya, 63 Ser;SAO 124068;HIP 92946;STF2417;Ser (Cau);4,0;18 56.2;+04 12;90;45;65;q;Spring 2
Xi Sco;Grafias, HR 5978;SAO 159665;HIP 78727;STF1998;Sco;5,1;16 04.4;-11 22;90;100;56;q;Summer 1
HD 144564;TYC 0957-00526-1;SAO 101922;HIP 78875;STF2007;Ser (Cap);6,6;16 06.0;+13 19;90;70;55;q;Summer 1
Rasalgethi;Alpha 1 Her, 64 Her;SAO 102680;HIP 84345;STF2140;Her;3,3;17 14.6;+14 23;100;150;54;q;Summer 1
100 Her;HR 6781;SAO 85753;HIP 88818;STF2280;Her;5,0;18 07.8;+26 06;90;45;65;q;Summer 1
17 Dra;HR 6185;SAO 30013;HIP 81292;STF2078;Dra;5,0;16 36.2;+52 55;150;140;52;q;Summer 2
Kuma;Nu 2 Dra, 25 Dra;SAO 30450;HIP 85829;STFA 35;Dra;4,1;17 32.3;+55 10;90;25;52;q;Summer 2
Dsiban;Psi 1 Dra, 31 Dra;SAO 8890;HIP 86614;STF2241;Dra;4,2;17 41.9;+72 09;90;45;51;q;Summer 2
41 Dra;HR 6810;SAO 8996;HIP 88136;STF2308;Dra;5,1;18 00.2;+80 00;90;70;61;q;Summer 2
HR 7083;HD 174208;SAO 142661;HIP 92391;H 6 50;Sct;6,0;18 49.7;-05 55;100;25;67;q;Summer 2
Epsilon 1 Lyr;Double Double, 4 Lyr;SAO 67310;HIP 91919;STF2382;Lyr;3,9;18 44.3;+39 40;150;140;63;q;Summer 2
Sheliak;Beta Lyr, 10 Lyr;SAO 67451;HIP 92420;STFA 39;Lyr;3,5;18 50.1;+33 22;90;45;63;q;Summer 2
HR 7140;HD 175635;SAO 67566;HIP 92833;STT 525;Lyr;5,9;18 54.9;+33 58;90;45;63;q;Summer 2
HR 7099;HD 174569;SAO 104170;HIP 92475;STF2404;Aql;6,5;18 50.8;+10 59;150;140;65;q;Summer 2
15 Aql;h Aql, HR 7225;SAO 142996;HIP 93717;SHJ 286;Aql;5,3;19 05.0;-04 02;90;45;67;q;Summer 2
57 Aql;HR 7593;SAO 143898;HIP 97966;STF2594;Aql;5,2;19 54.6;-08 14;90;45;66;q;Summer 2
HR 7294;HD 179958;SAO 48193;HIP 94336;STF2486;Cyg;5,8;19 12.1;+49 52;90;100;63;q;Summer 2
HR 7529;HD 186901;SAO 68805;HIP 97228;STF2578;Cyg;5,9;19 45.7;+36 05;90;70;62;q;Summer 2
U  Cyg;HD 193700;SAO 49479;HIP 100230;BLL 49;Cyg;7,6;20 19.7;+47 54;90;45;62;q;Summer 2
61 Cyg;V1803 Cyg;SAO 70919;HIP 104214;STF2758;Cyg;4,8;21 07.0;+38 46;90;45;73;q;Summer 2
HD 200392;TYC 1660-00673-1;SAO 89397;HIP 103852;BU 69;Vul;7,4;21 02.6;+21 41;100;25;75;q;Summer 2
HR 8101;HD 201671;SAO 89505;HIP 104539;STF2769;Vul;6,2;21 10.5;+22 27;90;45;75;q;Summer 2
HD 183014;TYC 1612-00787-1;SAO 87218;HIP 95612;STF2523;Vul;7,3;19 26.8;+21 10;100;50;64;q;Summer 2
V340 Sge;HR 7475;SAO 105104;HIP 96688;H N 84;Sge;6,3;19 39.4;+16 34;100;50;64;q;Summer 2
Theta Sge;17 Sge;SAO 88276;HIP 99352;STF2637;Sge;6,2;20 09.9;+20 55;100;70;64;q;Summer 2
HR 8281;HD 206267, STF 2816;SAO 33626;HIP 106886;BU 1143;Cep;5,5;21 39.0;+57 29;90;70;73;q;Summer 2
HR 8357;HD 208095;SAO 33819;HIP 107930;STF2840;Cep;5,2;21 52.0;+55 48;90;45;73;q;Summer 2
Alkurhah;Xi Cep, 17 Cep, Kurhah;SAO 19827;HIP 108917;STF2863;Cep;4,3;22 03.8;+64 38;90;70;71;q;Summer 2
Delta Cep;27 Cep;SAO 34508;HIP 110991;STFA 58;Cep;4,0;22 29.2;+58 25;90;45;72;q;Summer 2
Kappa Cep;1 Cep, Al Aghnam I;SAO 9665;HIP 99255;STF2675;Cep;4,4;20 08.9;+77 43;150;140;61;q;Summer 2
Alpha 1 Cap;Al Giedi, Prima Giedi, 5;SAO 163422;HIP 100027;HJ 607;Cap;4,2;20 17.6;-12 31;100;25;66;q;Summer 2
Dabih;Beta Cap, 9 Cap;SAO 163481;HIP 100345;STFA 52;Cap;3,0;20 21.0;-14 47;35;7;66;q;Summer 2
Omicron Cap;12 Cap;SAO 163626;HIP 101123;SHJ 324;Cap;5,5;20 29.9;-18 35;90;45;66;q;Summer 2
HD 196411;TYC 1100-01112-1;SAO 106302;HIP 101700;STF2703;Del;7,6;20 36.8;+14 44;100;40;64;q;Summer 2
Gamma 2 Del;12 Del, Al Salib;SAO 106476;HIP 102532;STF2727;Del;3,9;20 46.7;+16 07;90;100;64;q;Summer 2
3 Peg;HR 8265;SAO 126940;HIP 106783;STFA 56;Peg;5,9;21 37.7;+06 37;90;45;75;q;Autumn
Epsilon Equ;1 Equ;SAO 126428;HIP 103569;STF2737;Equ;5,1;20 59.1;+04 18;90;70;75;q;Autumn
8 Lac;HR 8603;SAO 72509;HIP 111546;STF2922;Lac;5,2;22 35.9;+39 38;90;45;72;q;Autumn
10 Lac;HR 8622;SAO 72575;HIP 111841;S 813;Lac;4,8;22 39.3;+39 03;100;25;72;q;Autumn
WZ Cas;HD 224855;SAO 21002;HIP 99;STTA254;Cas;7,0;00 01.3;+60 21;100;25;1;q;Autumn
HR 9094;HD 225009;SAO 10937;HIP 207;STF3053;Cas;5,7;00 02.6;+66 06;90;70;1;q;Autumn
Achird;Eta Cas, 24 Cas;SAO 21732;HIP 3821;STF 60;Cas;3,5;00 49.1;+57 49;100;100;3;q;Autumn
Pi And;29 And;SAO 54033;HIP 2912;H 5 17;And;4,3;00 36.9;+33 43;100;50;3;q;Autumn
56 And;HR 557;SAO 55107;HIP 9021;STFA 4;And;5,2;01 56.2;+37 15;50;10;2;q;Autumn
Almaak;Gamma 1, Almach, 57 And;SAO 37734;HIP 9640;STF 205;And;2,2;02 03.9;+42 20;90;100;2;q;Autumn
59 And;HR 628;SAO 55330;HIP 10176;STF 222;And;5,6;02 10.9;+39 02;90;70;2;q;Autumn
77 Psc;HR 313;SAO 109666;HIP 5141;STF 90;Psc;6,0;01 05.8;+04 54;90;45;5;q;Autumn
Zeta Psc;86 Psc, Revati;SAO 109739;HIP 5737;STF 100;Psc;4,9;01 13.7;+07 35;90;45;5;q;Autumn
HD 3125;D 2;SAO 128831;HIP 2713;STF 39;Cet;6,9;00 34.5;-04 33;150;50;7;q;Autumn
HD 9336;BD-19 262;SAO 147861;HIP 7108;HJ 2052;Cet;6,4;01 31.6;-19 01;90;45;6;q;Autumn
Nu Cet;78 Cet;SAO 110635;HIP 12093;STF 281;Cet;5,0;02 35.9;+05 36;100;50;4;q;Autumn
66 Cet;HR 650;SAO 129752;HIP 10305;STF 231;Cet;5,5;02 12.8;-02 24;90;45;6;q;Autumn
Mesarthim;Gamma 2 Ari, 5 Ari;SAO 92681;HIP 8832;STF 180;Ari;3,8;01 53.5;+19 18;90;100;4;q;Autumn
HD 13247;BD+32 390;SAO 55321;HIP 10130;STF 219;Tri;7,6;02 10.3;+33 22;100;50;2;q;Autumn
15 Tri;HR 750;SAO 55687;HIP 12086;AG 304;Tri;5,3;02 35.8;+34 41;90;25;2;q;Autumn
Polaris;Alpha UMi, 1 UMi;SAO 308;HIP 11767;STF 93;UMi;2,0;02 31.9;+89 16;100;50;1;q;Autumn
Zeta Per;Atik, 44 Per;SAO 56799;HIP 18246;STF 464;Per;2,9;03 54.1;+31 53;90;70;13;q;Autumn
Miram;Eta Per, 15 Per;SAO 23655;HIP 13268;STF 307;Per;3,8;02 50.7;+55 54;90;45;2;q;Autumn
