Target	Alternate ID	SAO	HIP	WDS	Con	RA 2000	Dec 2000	Mm	X	PSA	season	Parent	Pair	PA	SepSec	MagC	M1	M2	Notes	Type
				SHJ  77							winter(1)		AC	347	100.2		4.1	7.7	Fairly bright star to N. A light yellow; B blue. At a 90° angle to A and B. Much brighter than B.	Optical
				SHJ  77							winter(1)		AD	354	67.8		4.1	12.5	Use averted vision. Between C and A stars.	Uncertain
HR 2764	Winter Albireo, 145 CMa	SAO 173349	HIP 35210	HJ 3945	CMa	07 16.6	-23 19	90.0	45.0	27.0	winter(1)	HJ 3945	AB	50	26.8	4.6	5.0	5.8	The Winter Albireo. Main star orangey. Companion is pale, sky blue. Wonderful sight.	Optical
19 Lyn	HD 57103, HR 2784	SAO 26312	HIP 35785	STF1062	Lyn	07 22.9	+55 17	90.0	45.0	23.0	winter(2)	STF1062	AB	316	14.8	5.4	5.8	6.7	A, B, and D obvious in a flattened triangle. Primary is white; secondary blue? Oriented SE to NW.	Physical
				STF1062							winter(2)		AD	6	215.3		5.8	7.6	A, B, and D obvious in a flattened triangle. Bright. Well to the N.	Physical
				STF1062							winter(2)		BC	288	74.1		6.7	12.8	To the west. Dim!	Physical
HD 75353	TYC 2491-00983-3	SAO 61077	HIP 43426	STF1282	Lyn	08 50.7	+35 04	150.0	140.0	22.0	winter(2)	STF1282	AB	279	3.5	6.9	7.6	7.8	Equal, similar colours. Both white? Pleasing separation at 71x; tight at 54x. Many field stars.	Physical
				SLE1025							winter(2)		AC	10	49.4		7.5	12.4	Dim and distant. Nearly due N. Orange.	Physical
Alpha Lyn	40 Lyn, HD 80493	SAO 61414	HIP 45860	STT 571	Lyn	09 21.0	+34 24	100.0	25.0	33.0	winter(2)	STT 571	AB	43	223.3	3.3	3.3	8.8	Great system. The BC pair was far away NE. Incredible orange and blue at low power.	Optical
				STF1342							winter(2)		BC	313	16.7		8.8	11.1	Faint. Use high power. Visible at low power in good seeing. Colourless. 90° to AB line.	Uncertain
