sequence	Target	AlternateID	WDS	Con	RA2000	Dec2000	Mag	MaxSepSec	Notes
1	HD 21700	BD+27 514	STFA 7	Tau	03 31.1	+27 44	[6.8, 7.4, 7.8]	44.1	2,󰥮10cm,45x,winter(1)<NEWLINE>AB (Physical), PA: 234, Sep: 44.1<SECS>, Mag: 7.4/7.8 Wide pair. Nearly equal. Oriented NE to SW. Yellow or orange and blue. Beside double HR 1065.
2	Phi Tau	52 Tau, Alkalbain I	SHJ  40	Tau	04 20.4	+27 21	[5.0, 5.1, 7.5]	118.1	3,󰥮9cm,45x,winter(1)<NEWLINE>AB (Optical), PA: 259, Sep: 48.7<SECS>, Mag: 5.1/7.5 Widely separated. Intense colours, gold and blue. Unrelated bright orange-red star opposite B.<NEWLINE>AC (Uncertain), PA: 25, Sep: 118.1<SECS>, Mag: 5.1/12.3 Very dim partner, NNE.
3	32 Eri	HR 1212	STF 470	Eri	03 54.3	-02 57	[4.5, 4.8, 5.9]	164.7	3,󰥮9cm,140x,winter(1)<NEWLINE>AB (Uncertain), PA: 349, Sep: 6.9<SECS>, Mag: 4.8/5.9 Colourful pair, yellow and pale blue. Tight. May be called HR 1211 as opposed to HR 1212.<NEWLINE>AC (Optical), PA: 5, Sep: 164.7<SECS>, Mag: 4.8/10.5 Dim star beyond secondary, further north. Colourless.
4	Keid	Omicron 2 Eri	STF 518	Eri	04 15.2	-07 40	[4.4, 4.4, 9.3]	481.4	4,󰥮10cm,25x,winter(1)<NEWLINE>AB (Physical), PA: 102, Sep: 83.7<SECS>, Mag: 4.4/9.3 Very wide. Primary is orange or yellow. B is blue or red? B nearly due east.<NEWLINE>AC (Physical), PA: 98, Sep: 78.1<SECS>, Mag: 4.4/11.2 Another dim companion. C is very close to B, 9<SECS> apart! C north of B.<NEWLINE>AD (Optical), PA: 38, Sep: 481.4<SECS>, Mag: 4.4/12.6 Very faint and a long ways away. Looks like a field star. To the NE.
5	1 Cam	DL Cam	STF 550	Cam	04 32.0	+53 55	[5.4, 5.8, 6.8]	150.9	3,󰥮9cm,70x,winter(1)<NEWLINE>AB (Uncertain), PA: 309, Sep: 10.4<SECS>, Mag: 5.8/6.8 A and B bright. B NW of A. Very tight. Both look blue-white. A showcase pair for many.<NEWLINE>BC (Optical), PA: 217, Sep: 150.9<SECS>, Mag: 6.8/11.4 C much dimmer and well away to the SW. Looks pale blue?
6	Beta Cam	10 Cam	S  459	Cam	05 03.4	+60 27	[4.0, 4.1, 7.4]	84.2	3,󰥮10cm,60x,winter(1)<NEWLINE>AB (Uncertain), PA: 209, Sep: 84.2<SECS>, Mag: 4.1/7.4 Wide pair. Yellow and deep blue. B to the SW. Lots of field stars.<NEWLINE>BC (Physical), PA: 170, Sep: 14.8<SECS>, Mag: 7.4/12.4 Interesting triple. Very dim. Close to B. In a hockey stick shape. C south of B.
7	Rho Ori	17 Ori	STF 654	Ori	05 13.3	+02 52	[4.6, 4.6, 8.5]	183.4	3,󰥮15cm,100x,winter(1)<NEWLINE>AB (Uncertain), PA: 65, Sep: 6.4<SECS>, Mag: 4.6/8.5 Fantastic colours. Gold and deep blue. Quite tight. To the NE.<NEWLINE>AC (Optical), PA: 157, Sep: 183.4<SECS>, Mag: 4.6/11.4 90° to A and B. Very far away, 20 to 25 times!
8	Mintaka	Delta Ori, 34 Ori	STFA 14	Ori	05 32.0	-00 18	[2.4, 2.4, 6.8]	56.2	2,󰥮9cm,45x,winter(1)<NEWLINE>AC (Optical), PA: 4, Sep: 56.2<SECS>, Mag: 2.4/6.8 Widely separated, very attractive. Primary is white, a little yellow. Next star medium blue.
9	HR 1887	HD 36960	STF 747	Ori	05 35.0	-06 00	[4.3, 4.7, 5.5]	68.2	3,󰥮9cm,45x,winter(1)<NEWLINE>AB (Physical), PA: 225, Sep: 36.0<SECS>, Mag: 4.7/5.5 Very similar, pale yellow. Easily separated at 145x. Near Iota Orionis and Messier 42.<NEWLINE>AC (Physical), PA: 12, Sep: 68.2<SECS>, Mag: 4.7/9.0 Faint companion to the N.
10	Trapezium	Theta 1 Ori, 41 Ori	STF 748	Ori	05 35.3	-05 23	[6.2, 6.6, 7.5]	21.5	7,󰥮9cm,150x,winter(1)<NEWLINE>AB (Uncertain), PA: 32, Sep: 8.8<SECS>, Mag: 6.6/7.5 The Trapezium in the middle of M42. Stunning. B is NNE of A. Both white. Some report diff. colours.<NEWLINE>AC (Optical), PA: 132, Sep: 12.8<SECS>, Mag: 6.6/5.1 A, B, C, and D are all fairly easy. C is SE of A.<NEWLINE>AD (Uncertain), PA: 97, Sep: 21.5<SECS>, Mag: 6.6/6.4 A, B, C, and D are all fairly easy. D is kitty-corner from and east of A.<NEWLINE>AE (Uncertain), PA: 352, Sep: 4.6<SECS>, Mag: 6.6/11.1 E and F get harder. Need good seeing. E is between A and B (but not in-line).<NEWLINE>BF (Uncertain), PA: 154, Sep: 20.5<SECS>, Mag: 7.5/11.5 And higher magnification. F is SE of C.<NEWLINE>CZ (Uncertain), PA: 338, Sep: 6.5<SECS>, Mag: 5.1/12.7 Bonus points!
11	Beta Mon	11 Mon	STF 919	Mon	06 28.8	-07 02	[4.0, 4.6, 5.0]	26.6	4,󰥮9cm,100x,winter(1)<NEWLINE>AB (Uncertain), PA: 133, Sep: 7.1<SECS>, Mag: 4.6/5.0 Same colour, white. Extremely tight. Bright. B a tiny bit dimmer than A. SE of A.<NEWLINE>AC (Uncertain), PA: 125, Sep: 9.8<SECS>, Mag: 4.6/5.4 At low power B is not round. B very tight to C. C slightly dimmer than B. SE of B.<NEWLINE>AD (Uncertain), PA: 55, Sep: 26.6<SECS>, Mag: 4.6/12.1 Four or five times the AB sep., to the NE, a right angle to A-B-C. Very faint, needs averted.
12	HD 34071	TYC 5902-1722-1	GAL 378	Lep	05 14.1	-16 40	[7.5, 7.8, 9.2]	39.1	2,󰥮10cm,50x,winter(1)<NEWLINE>AB (Optical), PA: 318, Sep: 39.1<SECS>, Mag: 7.8/9.2 Yellow and orange. Nice. Primary is a K2 star. Near Mu Lep. Shown as single star in PSA.
13	Gamma Lep	Kursi al Jabbar, 13 Lep	H 6  40	Lep	05 44.5	-22 27	[3.5, 3.6, 6.3]	112.1	3,󰥮9cm,25x,winter(1)<NEWLINE>AB (Physical), PA: 350, Sep: 97.4<SECS>, Mag: 3.6/6.3 Colourful, unequal stars. Bright primary, yellow. Faint secondary, orange.<NEWLINE>BC (Optical), PA: 8, Sep: 112.1<SECS>, Mag: 6.3/11.4 Faint distant companion to the N.
14	HD 51502	PPM 123322	STTA 80	Gem	06 58.1	+14 14	[6.6, 7.3, 7.4]	124.1	4,󰥮10cm,25x,winter(1)<NEWLINE>AB (Optical), PA: 53, Sep: 124.1<SECS>, Mag: 7.3/7.4 Appears as a little triangle of stars in finder. Yellow primary, yellow secondary. To the NE.<NEWLINE>AC (Uncertain), PA: 112, Sep: 81.2<SECS>, Mag: 7.3/8.4 The tertiary star was orange. To the SE. Neat! In a rich field.<NEWLINE>AD (Optical), PA: 286, Sep: 86.3<SECS>, Mag: 7.3/10.3 Dim. Orange-red. To the W.
15	Mekbuda	Zeta Gem, 43 Gem	SHJ  77	Gem	07 04.1	+20 34	[4.1, 4.1, 11.5]	100.2	4,󰥮10cm,25x,winter(1)<NEWLINE>AB (Uncertain), PA: 85, Sep: 87.4<SECS>, Mag: 4.1/11.5 In an obvious triangle. Awesome. Light yellow primary. B dim to the E. In a neat field.<NEWLINE>AC (Optical), PA: 347, Sep: 100.2<SECS>, Mag: 4.1/7.7 Fairly bright star to N. A light yellow; B blue. At a 90° angle to A and B. Much brighter than B.<NEWLINE>AD (Uncertain), PA: 354, Sep: 67.8<SECS>, Mag: 4.1/12.5 Use averted vision. Between C and A stars.
16	HR 2764	Winter Albireo, 145 CMa	HJ 3945	CMa	07 16.6	-23 19	[4.6, 5.0, 5.8]	26.8	2,󰥮9cm,45x,winter(1)<NEWLINE>AB (Optical), PA: 50, Sep: 26.8<SECS>, Mag: 5.0/5.8 The Winter Albireo. Main star orangey. Companion is pale, sky blue. Wonderful sight.
17	19 Lyn	HD 57103, HR 2784	STF1062	Lyn	07 22.9	+55 17	[5.4, 5.8, 6.7]	215.3	4,󰥮9cm,45x,winter(2)<NEWLINE>AB (Physical), PA: 316, Sep: 14.8<SECS>, Mag: 5.8/6.7 A, B, and D obvious in a flattened triangle. Primary is white; secondary blue? Oriented SE to NW.<NEWLINE>AD (Physical), PA: 6, Sep: 215.3<SECS>, Mag: 5.8/7.6 A, B, and D obvious in a flattened triangle. Bright. Well to the N.<NEWLINE>BC (Physical), PA: 288, Sep: 74.1<SECS>, Mag: 6.7/12.8 To the west. Dim!
18	HD 75353	TYC 2491-00983-3	STF1282	Lyn	08 50.7	+35 04	[6.9, 7.6, 7.8]	49.4	3,󰥮15cm,140x,winter(2)<NEWLINE>AB (Physical), PA: 279, Sep: 3.5<SECS>, Mag: 7.6/7.8 Equal, similar colours. Both white? Pleasing separation at 71x; tight at 54x. Many field stars.<NEWLINE>AC (Physical), PA: 10, Sep: 49.4<SECS>, Mag: 7.5/12.4 Dim and distant. Nearly due N. Orange.
19	Alpha Lyn	40 Lyn, HD 80493	STT 571	Lyn	09 21.0	+34 24	[3.3, 3.3, 8.8]	223.3	3,󰥮10cm,25x,winter(2)<NEWLINE>AB (Optical), PA: 43, Sep: 223.3<SECS>, Mag: 3.3/8.8 Great system. The BC pair was far away NE. Incredible orange and blue at low power.<NEWLINE>BC (Uncertain), PA: 313, Sep: 16.7<SECS>, Mag: 8.8/11.1 Faint. Use high power. Visible at low power in good seeing. Colourless. 90° to AB line.
20	HR 2910	N Pup, HD 60585	H N 19	Pup	07 34.3	-23 28	[5.1, 5.8, 5.9]	9.6	2,󰥮9cm,100x,winter(2)<NEWLINE>AB (Physical), PA: 117, Sep: 9.6<SECS>, Mag: 5.8/5.9 aka HR 2909. Cool! Car headlights. Nearly same brightness. Same light yellow colour.
21	2 Pup	HR 3010	STF1138	Pup	07 45.5	-14 41	[5.5, 6.0, 6.7]	100.0	3,󰥮9cm,45x,winter(2)<NEWLINE>AB (Physical), PA: 341, Sep: 16.8<SECS>, Mag: 6.0/6.7 To the N. Nearly equal colour. Yellow and blue. Nearly equal brightness. Not far from Messier 46.<NEWLINE>AC (Uncertain), PA: 229, Sep: 100.0<SECS>, Mag: 6.0/10.6 Dim and distant. To the SW. White.
22	Tegmen	Zeta 1 Cnc, 16 Cnc	STF1196	Cnc	08 12.2	+17 39	[4.5, 5.3, 6.3]	672.3	7,󰥮9cm,100x,spring(1)<NEWLINE>AB (binary), PA: 8, Sep: 1.1<SECS>, Mag: 5.3/6.3 or Tegmine. At high power, not round, a figure-8. Almost in-line with C. Split at 391x in 2012.<NEWLINE>AC (Physical), PA: 51, Sep: 6.3<SECS>, Mag: 5.3/5.9 Pleasing at 52x. Main pale yellow colour, companion hint of orange? To the NE.<NEWLINE>AD (Optical), PA: 107, Sep: 275.6<SECS>, Mag: 4.9/8.9 Faint, well away to the E.<NEWLINE>AE (Optical), PA: 26, Sep: 562.2<SECS>, Mag: 4.9/10.1 NNE, further away than D.<NEWLINE>AF (Optical), PA: 46, Sep: 638.1<SECS>, Mag: 4.9/10.3 The faintest of all. East of the E star. aka TYC 01381-0323 1.<NEWLINE>AG (Optical), PA: 332, Sep: 672.3<SECS>, Mag: 4.9/10.2 G is to the NW, at a right angle to E star, about the same distance that E was from A.
23	HR 3395	HD 72945	STF1245	Cnc	08 35.8	+06 37	[5.7, 6.0, 7.2]	120.5	6,󰥮9cm,70x,spring(1)<NEWLINE>AB (Physical), PA: 25, Sep: 10.1<SECS>, Mag: 6.0/7.2 Yellow and white. In middle of a triangle. B was roughly north.<NEWLINE>AC (Optical), PA: 109, Sep: 100.4<SECS>, Mag: 6.0/10.7 C was to the east, was dimmer than E. C looked red. Opposite D.<NEWLINE>AD (Optical), PA: 292, Sep: 110.3<SECS>, Mag: 6.0/11.9 Dim. Opposite C.<NEWLINE>AE (Optical), PA: 207, Sep: 114.8<SECS>, Mag: 6.0/9.6 Brighter than C. Blue. To the south.<NEWLINE>AG (Uncertain), PA: 211, Sep: 120.5<SECS>, Mag: 6.0/12.3 The dimmest of all. Furthest out.
24	HD 75646	TYC 1946-02159-1	STTA 96	Cnc	08 52.0	+25 43	[7.3, 7.7, 8.5]	50.0	3,󰥮9cm,45x,spring(1)<NEWLINE>AB (Optical), PA: 312, Sep: 50.0<SECS>, Mag: 7.7/8.5 Sparse field. Colourful. Bright primary SE, secondary NW. Lovely. A great system. Yellow-blue.<NEWLINE>AC (Uncertain), PA: 267, Sep: 35.6<SECS>, Mag: 7.7/10.7 C is red. Very dim. W of A. At apex of right-angle bend, so B due north of C and A due east.
25	HD 73668	TYC 0223-01420-1	STF1255	Hya	08 39.7	+05 46	[7.0, 7.3, 8.6]	71.5	3,󰥮9cm,45x,spring(1)<NEWLINE>AB (Physical), PA: 30, Sep: 26.0<SECS>, Mag: 7.3/8.6 Near ε and ζ. Faint pair. Easy split at 62x. Yellow and orange. NE.<NEWLINE>BD (optical), PA: 22, Sep: 71.5<SECS>, Mag: 8.6/12.6 Additional companion needs a bigger aperture. Beyond B star.
26	Tau 1 Hya	31 Hya, Ukdah I	HJ 1167	Hya	09 29.2	-02 46	[4.5, 4.6, 7.3]	67.5	2,󰥮9cm,25x,spring(1)<NEWLINE>AB (Physical), PA: 4, Sep: 67.5<SECS>, Mag: 4.6/7.3 Pleasing warm yellow main star and pale orange companion. Widely separated at 110x.
27	HR 3963	HD 87344, SHJ 110	BU 1072	Hya	10 04.0	-18 06	[5.8, 6.2, 12.1]	21.2	3,󰥮9cm,70x,spring(1)<NEWLINE>AB (Optical), PA: 53, Sep: 12.7<SECS>, Mag: 6.2/12.1 <SECS>HR 3963 fun starhop from Alphard.<SECS> Will need larger aperture for B star. East of the primary<NEWLINE>AC (Optical), PA: 273, Sep: 21.2<SECS>, Mag: 6.2/7.0 Wide pair at 48x. Blue or blue-white and orange. Faint. Oriented to the W.
28	HR 4363	HD 97855	STF1520	UMa	11 16.1	+52 46	[6.2, 6.5, 7.8]	12.4	2,󰥮9cm,70x,spring(1)<NEWLINE>AB (Physical), PA: 344, Sep: 12.4<SECS>, Mag: 6.5/7.8 Slightly unequal intensities. Nice. Medium tight. Secondary orange and main yellow.
29	HD 100054	TYC 3831-00765-1	STF1544	UMa	11 31.3	+59 42	[6.8, 7.3, 8.0]	12.2	2,󰥮9cm,70x,spring(1)<NEWLINE>AB (Uncertain), PA: 91, Sep: 12.2<SECS>, Mag: 7.3/8.0 Wide pair. Easy in big 'scope. Yellow and pale blue. Very similar brightness, B very slightly dimmer.
30	83 Leo	HR 4414	STF1540	Leo	11 26.7	+03 01	[6.2, 6.6, 7.5]	205.2	3,󰥮9cm,45x,spring(1)<NEWLINE>AB (Binary), PA: 150, Sep: 28.4<SECS>, Mag: 6.6/7.5 Bright stars. B SE. Easy split, tighter than Tau AB. West of Tau Leo. Both yellow. Two in the view.<NEWLINE>AC (Optical), PA: 191, Sep: 205.2<SECS>, Mag: 6.6/11.1 Faint and well away, 10x. To the S.
31	Tau Leo	84 Leo	STFA 19	Leo	11 27.9	+02 51	[5.0, 5.1, 7.5]	761.2	3,󰥮10cm,25x,spring(1)<NEWLINE>AB (Optical), PA: 182, Sep: 88.5<SECS>, Mag: 5.1/7.5 Neat system. A yellow-white, B blue, much dimmer. South. Wide. Beside 83 Leo. Two in the view.<NEWLINE>AD (Optical), PA: 92, Sep: 761.2<SECS>, Mag: 5.1/9.5 D, far afield east, very wide. Brighter than B! About 90° from AB angle. White, maybe blue white.
32	HD 105590	TYC 5522-01685-1	STF1604	Crv	12 09.5	-11 51	[6.8, 6.9, 10.0]	10.5	3,󰥮10cm,70x,spring(2)<NEWLINE>AB (Physical), PA: 88, Sep: 9.0<SECS>, Mag: 6.9/10.0 Very cool. Tight. Equilateral triangle. B faint. Fantastic colours at 217x! Yellow and red. Sparse field.<NEWLINE>AC (Optical), PA: 3, Sep: 10.5<SECS>, Mag: 6.9/8.1 C, aka SAO 157112, is brighter than B. To the N. Fantastic colours again, A yellow; C blue.
33	Algorab	Delta Crv, 7 Crv	SHJ 145	Crv	12 29.9	-16 31	[3.0, 3.0, 8.5]	24.0	2,󰥮10cm,50x,spring(2)<NEWLINE>AB (Uncertain), PA: 215, Sep: 24.0<SECS>, Mag: 3.0/8.5 Contrasting brightness. Wide. Pretty at low power. Main is white or pale yellow. Companion: white.
34	HD 109556	TYC 5530-02065-1	STF1659	Crv	12 35.7	-12 01	[7.3, 7.9, 8.3]	209.4	6,󰥮10cm,40x,spring(2)<NEWLINE>AB (Physical), PA: 351, Sep: 28.1<SECS>, Mag: 7.9/8.3 Lots going on! A triad shape, close faint pair in the middle. A is to the south. Slightly warmer colour.<NEWLINE>AC (Uncertain), PA: 69, Sep: 43.8<SECS>, Mag: 7.9/10.9 Extremely faint, spotted at 139x. Right angle to A and B. Blue-white. Near HD 109875.<NEWLINE>AD (Optical), PA: 32, Sep: 189.8<SECS>, Mag: 7.9/9.9 D was very faint to the NE. Further out from A than E. Blue-white.<NEWLINE>AE (Optical), PA: 275, Sep: 151.2<SECS>, Mag: 7.9/6.8 West (opposite C, a right-angle again). Fairly bright. Tiny bit closer to A than the D star. Blue-white.<NEWLINE>AF (Optical), PA: 139, Sep: 209.4<SECS>, Mag: 7.9/6.6 F brightest of all the members, to the SE. Slightly further from A than D. Blue-white.
35	2 CVn	HR 4666	STF1622	CVn	12 16.1	+40 40	[5.8, 5.9, 8.7]	12.1	2,󰥮9cm,70x,spring(2)<NEWLINE>AB (Optical), PA: 260, Sep: 12.1<SECS>, Mag: 5.9/8.7 Colourful pair. Orange and blue. Pleasingly close at 78x. Lovely.
36	Cor Caroli	Alpha 2 CVn, 12 CVn	STF1692	CVn	12 56.0	+38 19	[2.8, 2.9, 5.5]	19.5	2,󰥮9cm,70x,spring(2)<NEWLINE>AB (Physical), PA: 230, Sep: 19.5<SECS>, Mag: 2.9/5.5 Main very white blue, partner pale yellow green? Fairly close. Easy to separate at 40x Nice at 48x!
37	HR 4698	HD 107398	STF1633	Com	12 20.7	+27 03	[6.3, 7.0, 7.1]	8.9	2,󰥮9cm,100x,spring(2)<NEWLINE>AB (Uncertain), PA: 245, Sep: 8.9<SECS>, Mag: 7.0/7.1 Not far from open cluster Collinder 256. WSW. Pale yellow, both.
38	12 Com	HR 4707	SHJ 143	Com	12 22.5	+25 51	[4.9, 4.9, 11.8]	213.1	4,󰥮10cm,25x,spring(2)<NEWLINE>AB (Optical), PA: 57, Sep: 36.7<SECS>, Mag: 4.9/11.8 Fainter than the eastern triangle stars including TYC 1989-0807 1. Shown as single star in PSA.<NEWLINE>AC (Physical), PA: 168, Sep: 59.0<SECS>, Mag: 4.9/8.9 To the S. Wide pair, about double AB. Yellow and orange. Within open cluster Collinder 256.<NEWLINE>AD (Optical), PA: 132, Sep: 213.1<SECS>, Mag: 4.9/10.1 A star further along, more to the east, making a hockey stick with A and C, same brightness as C.
39	24 Com	HR 4792	STF1657	Com	12 35.1	+18 23	[4.8, 5.1, 6.3]	20.2	2,󰥮9cm,70x,spring(2)<NEWLINE>AB (Physical), PA: 272, Sep: 20.2<SECS>, Mag: 5.1/6.3 A nice wide colourful double. Yellow is the primary and white-blue is the secondary.
40	HD 110932	TYC 0881-00563-1	STF1678	Com	12 45.4	+14 22	[6.7, 7.2, 7.7]	37.5	2,󰥮9cm,45x,spring(2)<NEWLINE>AB (Optical), PA: 170, Sep: 37.5<SECS>, Mag: 7.2/7.7 Nearly equal stars. Maybe orange. And white or yellow. Nice. Quite wide at 48x but attractive.
41	32 Com	HR 4884	STFA 23	Com	12 52.2	+17 04	[6.0, 6.5, 7.0]	905.1	3,󰥮9cm,25x,spring(2)<NEWLINE>AB (Optical), PA: 51, Sep: 196.3<SECS>, Mag: 6.5/7.0 Extremely wide at medium power. 32-33 Com. Orange and blue. To the NE.<NEWLINE>AC (Optical), PA: 262, Sep: 905.1<SECS>, Mag: 6.5/9.0 C star is dim grey or yellow. A and C might be opposite edges of field of view at very low power!
42	HD 112278	TYC 0885-01206-1	STF1689	Vir	12 55.5	+11 30	[6.9, 7.1, 9.1]	30.2	2,󰥮10cm,50x,spring(2)<NEWLINE>AB (Optical), PA: 223, Sep: 30.2<SECS>, Mag: 7.1/9.1 In a hook shape of stars. Tight pair. Yellow-white  and orange-red. Challenging. Near NGC 4762.
43	Asellus Tertius	Kappa 2 Boo, 17 Boo	STF1821	Boo	14 13.5	+51 47	[4.4, 4.5, 6.6]	13.7	2,󰥮9cm,100x,spring(2)<NEWLINE>AB (Physical), PA: 236, Sep: 13.7<SECS>, Mag: 4.5/6.6 Beside iota Boo. Two in the view. Nice double. Pale yellow and very pale blue?
44	Iota Boo	Asellus Secundus, 21 Boo	STFA 26	Boo	14 16.2	+51 22	[4.7, 4.8, 7.4]	38.9	2,󰥮9cm,45x,spring(2)<NEWLINE>AB (Physical), PA: 33, Sep: 38.9<SECS>, Mag: 4.8/7.4 Beside kappa Boo. Two in the view. Main pale yellow; companion medium pale orange.
45	Delta Boo	49 Boo, Thiba	STFA 27	Boo	15 15.5	+33 19	[3.6, 3.6, 7.9]	105.0	2,󰥮10cm,25x,spring(2)<NEWLINE>AB (Physical), PA: 78, Sep: 105.0<SECS>, Mag: 3.6/7.9 Yellow and pale blue-green. Wide. Easy at 48x. ENE.
46	Alkalurops	Mu 1 Boo, 51 Boo	STFA 28	Boo	15 24.5	+37 23	[4.2, 4.3, 7.1]	109.0	3,󰥮9cm,25x,spring(2)<NEWLINE>AB (Physical), PA: 172, Sep: 109.0<SECS>, Mag: 4.3/7.1 At 54x, a wide pair. Primary pale yellow or white. Companion quite dim. White? South.<NEWLINE>Ba,Bb (Binary), PA: 4, Sep: 2.3<SECS>, Mag: 7.1/7.6 Split at 145x. Both white. Angle of tight pair almost same A and the pair.
47	HR 5397	HD 126367, BU 225	SHJ 179	Lib	14 25.5	-19 58	[6.1, 6.6, 7.2]	35.0	3,󰥮10cm,25x,spring(2)<NEWLINE>AB (Physical), PA: 296, Sep: 35.0<SECS>, Mag: 6.6/7.2 NW. Nice. Nearly equal brightness. White or yellow and orange. Surrounded by doubles.<NEWLINE>BC (Physical), PA: 91, Sep: 1.2<SECS>, Mag: 7.2/8.4 Very tight. Large aperture and good seeing needed. C east of B.
48	Zuben Elgenubi	Alpha 2 Lib, 9 Lib	SHJ 186	Lib	14 50.9	-16 03	[2.6, 2.7, 5.2]	275.6	3,󰥮3.5cm,7x,spring(2)<NEWLINE>AB (Physical), PA: 314, Sep: 231.1<SECS>, Mag: 2.7/5.2 Use binoculars! Extremely wide. White, bright; pale orange. NW.<NEWLINE>AC (Uncertain), PA: 291, Sep: 275.6<SECS>, Mag: 2.7/12.5 Even further away but so dim a telescope is needed. WNW.
49	HR 5816	HD 139461	STF1962	Lib	15 38.7	-08 47	[5.7, 6.4, 6.5]	11.7	2,󰥮9cm,70x,spring(2)<NEWLINE>AB (Physical), PA: 190, Sep: 11.7<SECS>, Mag: 6.4/6.5 A nice pair in a 100mm at 55x. Pleasing, tight. Equally bright. Identical in colour: pale yellow.
50	HD 139691	TYC 2577-01756-1	HU 1167	CrB	15 38.2	+36 15	[7.3, 8.1, 9.9]	15.1	4,󰥮10cm,70x,spring(2)<NEWLINE>AB (Binary), PA: 81, Sep: 1.2<SECS>, Mag: 8.1/9.9 Requires aperture greater than 90mm. Near Zeta 1 and 2 Coronae Borealis. E of A.<NEWLINE>AC (Physical), PA: 90, Sep: 14.5<SECS>, Mag: 8.1/8.1 Wide, equal brightness. Orange and blue. C is due E of A. Fainter than zeta CrB.<NEWLINE>AD (Physical), PA: 84, Sep: 15.1<SECS>, Mag: 8.1/9.0 Dim. C and D are inline and are very close to each other. Likely merged together.
51	HR 6043	HD 145802	STT 305	CrB	16 11.7	+33 21	[6.4, 6.4, 10.2]	5.7	2,󰥮9cm,100x,spring(2)<NEWLINE>AB (Physical), PA: 263, Sep: 5.7<SECS>, Mag: 6.4/10.2 B medium-bright star immediately west, very close, almost touching primary! Beige and pale blue.
52	Sigma CrB	17 CrB, TZ Crb	STF2032	CrB	16 14.7	+33 51	[5.2, 5.6, 6.5]	634.8	4,󰥮15cm,100x,spring(2)<NEWLINE>AB (Binary), PA: 239, Sep: 7.3<SECS>, Mag: 5.6/6.5 Nice double star. Similar magnitudes. Pretty tight. White; pale orange. Oriented NE to SW.<NEWLINE>AD (Optical), PA: 82, Sep: 93.5<SECS>, Mag: 5.6/10.8 Faint. Very wide. Nearly due E of A.<NEWLINE>AE (Physical), PA: 241, Sep: 634.8<SECS>, Mag: 5.6/12.3 Dimmer. Extraordinarily wide. To the SW, beyond B.
53	HD 144564	TYC 0957-00526-1	STF2007	Ser (Cap)	16 06.0	+13 19	[6.6, 6.9, 8.0]	162.7	3,󰥮9cm,70x,spring(3)<NEWLINE>AB (Optical), PA: 322, Sep: 37.5<SECS>, Mag: 6.9/8.0 Colourful stars. A is yellow with a hint orange while B is white. B is NW. Nice triple. Interesting field.<NEWLINE>AC (Optical), PA: 137, Sep: 162.7<SECS>, Mag: 6.9/10.8 Wide pair, easily separated. Opposite B. The C attendant is in an arc of stars. Serpens Caput.
54	Xi Sco	Grafias, HR 5978	STF1998	Sco	16 04.4	-11 22	[5.1, 5.2, 4.9]	7.5	3,󰥮9cm,100x,summer(1)<NEWLINE>AB (Binary), PA: 9, Sep: 1.1<SECS>, Mag: 5.2/4.9 Grafias. Very low through high power. AB is super-tight. Pale gold both. Big 'scope and 200x?<NEWLINE>AC (Binary), PA: 43, Sep: 7.5<SECS>, Mag: 5.2/7.3 Colourful stars. NE of A. Bright stars. C is easy split, at low power. C is orange.
55	Theta 1 Ser	Alya, 63 Ser	STF2417	Ser (Cau)	18 56.2	+04 12	[4.0, 4.6, 4.9]	421.0	3,󰥮9cm,45x,summer(1)<NEWLINE>AB (Physical), PA: 104, Sep: 22.5<SECS>, Mag: 4.6/4.9 aka Alya. Identical stars, like eyes. Tight. A nice double, white stars. Serpens Cauda. ESE.<NEWLINE>AC (Optical), PA: 58, Sep: 421.0<SECS>, Mag: 4.6/6.8 Slightly fainter but much further out. NE. White and yellow.
