sequence	Target	AlternateID	WDS	Con	RA2000	Dec2000	Mag	MaxSepSec	Notes
68	57 Aql	HR 7593	STF2594	Aql	19 54.6	-08 14	[5.2, 5.7, 6.4]	35.7	2,󰥮9cm,45x,summer(1)<NEWLINE>AB (Physical), PA: 171, Sep: 35.7<SECS>, Mag: 5.7/6.4 Nice pair. Almost equal in magnitude. The brighter one is a pale blue; fainter star is pale yellow.
69	HR 7294	HD 179958	STF2486	Cyg	19 12.1	+49 52	[5.8, 6.5, 6.7]	196.0	3,󰥮9cm,100x,summer(2)<NEWLINE>AB (Binary), PA: 204, Sep: 7.1<SECS>, Mag: 6.5/6.7 Two gold stars, equally coloured, equally bright. Easily split at 145x. Beside triple HR 7311.<NEWLINE>AD (Optical), PA: 104, Sep: 196.0<SECS>, Mag: 6.5/11.1 Very faint. Far away to the SE. May be referred to as HD 179957 and HR 7293.
70	HR 7529	HD 186901	STF2578	Cyg	19 45.7	+36 05	[5.9, 6.4, 7.0]	144.5	5,󰥮9cm,70x,summer(2)<NEWLINE>AB (Optical), PA: 125, Sep: 14.9<SECS>, Mag: 6.4/7.0 Nearly equal. White and orange. Almost east-west. Lots of faint stars. Attractive at 48x.<NEWLINE>AC (Uncertain), PA: 356, Sep: 44.3<SECS>, Mag: 6.4/12.5 The C and D stars popped at 226x. C to the north.<NEWLINE>AD (Uncertain), PA: 70, Sep: 95.0<SECS>, Mag: 6.4/12.4 The C and D stars popped at 226x. D to the NE.<NEWLINE>AF (Optical), PA: 251, Sep: 144.5<SECS>, Mag: 6.4/9.2 The curious star to the far west.
71	U Cyg	HD 193700	BLL 49	Cyg	20 19.7	+47 54	[7.6, 8.0, 9.0]	65.4	2,󰥮9cm,45x,summer(2)<NEWLINE>AB (Optical), PA: 231, Sep: 65.4<SECS>, Mag: 8.0/9.0 The A star is highly variable, may be dimmer than B. Pale orange and red. SW.
72	61 Cyg	V1803 Cyg	STF2758	Cyg	21 07.0	+38 46	[4.8, 5.2, 6.1]	839.8	12,󰥮9cm,45x,summer(2)<NEWLINE>AB (Binary), PA: 153, Sep: 31.8<SECS>, Mag: 5.2/6.1 Close. SE. Both light gold. Almost equal brightness. B is slightly fainter than A. Pretty system.<NEWLINE>AC (Optical), PA: 219, Sep: 839.8<SECS>, Mag: 5.4/10.2 Ay carumba! Very wide. To the SW. Rich field. Surrounded by many faint stars.<NEWLINE>AD (Optical), PA: 250, Sep: 748.0<SECS>, Mag: 5.4/10.5 Use a detailed atlas or powerful software to identify field stars from official companions. Very wide.<NEWLINE>AE (Optical), PA: 267, Sep: 340.8<SECS>, Mag: 5.4/9.6 Use atlas or software to identify field stars from official companions. Very wide. Due W.<NEWLINE>AF (Optical), PA: 240, Sep: 371.2<SECS>, Mag: 5.4/11.3 Use atlas or software to identify field stars from official companions. Very wide. SW.<NEWLINE>AG (Optical), PA: 236, Sep: 260.4<SECS>, Mag: 5.4/11.3 Use atlas or software to identify field stars from official companions. Very wide. SW.<NEWLINE>AH (Optical), PA: 268, Sep: 117.5<SECS>, Mag: 5.4/10.0 Use atlas or software to identify field stars from official companions. Wide. W.<NEWLINE>AI (Optical), PA: 239, Sep: 28.3<SECS>, Mag: 5.4/10.7 Use atlas or software to identify field stars from official companions. Close. SW.<NEWLINE>AJ (Uncertain), PA: 241, Sep: 17.5<SECS>, Mag: 2.3/12.4 Use atlas or software to identify field stars from official companions. Tight. Faint. SW.<NEWLINE>AO (Optical), PA: 281, Sep: 163.4<SECS>, Mag: 5.4/12.7 Use atlas or software to identify field stars from official companions. Wide. Faint. W.<NEWLINE>AP (Optical), PA: 285, Sep: 159.6<SECS>, Mag: 5.4/12.8 Use atlas or software to identify field stars from official companions. Wide. Faint. W.
73	HD 200392	TYC 1660-00673-1	BU 69	Vul	21 02.6	+21 41	[7.4, 8.4, 8.0]	74.6	2,󰥮10cm,25x,summer(2)<NEWLINE>AC (Uncertain), PA: 241, Sep: 74.6<SECS>, Mag: 8.4/8.0 In a hockey stick, in the blade. Main was a touch brighter than B. Wide. WSW. White and orange.
74	HR 8101	HD 201671	STF2769	Vul	21 10.5	+22 27	[6.2, 6.7, 7.4]	18.2	2,󰥮9cm,45x,summer(2)<NEWLINE>AB (Physical), PA: 300, Sep: 18.2<SECS>, Mag: 6.7/7.4 Obvious. Bright star yellow. B blue? Nearly equal brightness. Oriented nearly perfectly east-west.
75	HD 183014	TYC 1612-00787-1	STF2523	Vul	19 26.8	+21 10	[7.3, 8.0, 8.1]	250.8	4,󰥮10cm,50x,summer(2)<NEWLINE>AB (Physical), PA: 148, Sep: 6.4<SECS>, Mag: 8.0/8.1 Nearly equal. Part of a triangle, at north apex. Very tight, blue-white stars. Near Coathanger.<NEWLINE>AC (Uncertain), PA: 147, Sep: 250.8<SECS>, Mag: 8.0/7.2 Very wide. SE. Similar brightness to AB.<NEWLINE>CD (Uncertain), PA: 139, Sep: 10.5<SECS>, Mag: 7.2/12.8 Fantastic. Unequal stars in brightness and colour. White and orange. Classic! Near HLM 23.
76	V340 Sge	HR 7475	H N 84	Sge	19 39.4	+16 34	[6.3, 6.4, 9.5]	28.4	2,󰥮10cm,50x,summer(2)<NEWLINE>AB (Uncertain), PA: 301, Sep: 28.4<SECS>, Mag: 6.4/9.5 WNW. Wide at 55x. Orange and blue. Or green? Unequal. Interesting. Near epsilon Sge.
77	Theta Sge	17 Sge	STF2637	Sge	20 09.9	+20 55	[6.2, 6.6, 8.9]	172.8	4,󰥮10cm,70x,summer(2)<NEWLINE>AB (Physical), PA: 332, Sep: 11.6<SECS>, Mag: 6.6/8.9 NNW. Tight. Primary yellow-white, partner orange-yellow. Interesting. Low and high power.<NEWLINE>AC (Optical), PA: 222, Sep: 91.3<SECS>, Mag: 6.6/7.5 C is yellow with a touch of orange. To the SW!<NEWLINE>AD (Optical), PA: 226, Sep: 172.8<SECS>, Mag: 6.6/11.9 Harder. Grey? D is beyond C. Surrounded by other doubles.
