"CON","NAME           ","R.A.   ","DEC.  ","COMP","OTHER NAMES               ","Mag ","Mag2","SEP  ","PA ","NOTES                                                        ","U2K","TIR","BSA","SAO   "
"AND","STT 514        ","00 04.6","+42 06","    ","                          ","7   ","9.5 ","5.3  ","168","                                                             ","59 ","4  ","3  ","      "
"AND","STF 3056       ","00 04.7","+34 16","AB  ","                          ","8   ","8   ","0.6  ","148","K0                                                           ","89 ","4  ","3  ","53617 "
"AND","STF 3056       ","00 04.7","+34 16","ABxC","                          ","    ","9.7 ","95.7 ","238","                                                             ","89 ","4  ","3  ","53617 "
"AND","SU And         ","00 04.7","+43 33","    ","                          ","var.","13  ","15   ","280","CoCo; Primary is carbon star; mag var 8.0-8.5                ","59 ","4  ","3  ","      "
"AND","Burnham  997   ","00 05.0","+45 40","    ","                          ","8   ","9   ","4    ","338","                                                             ","59 ","4  ","3  ","      "
"AND","STF 3064       ","00 07.6","+40 09","    ","                          ","7   ","10  ","24.8 ","3  ","                                                             ","59 ","4  ","3  ","      "
"AND","STT 256        ","00 08.1","+31 24","    ","                          ","7.9 ","7.9 ","109.5","115","                                                             ","89 ","4  ","3  ","      "
"AND","Alpha And      ","00 08.4","+29 05","    ","Alpheratz                 ","2.1 ","11.3","81.5 ","280","A0                                                           ","89 ","4  ","3  ","73765 "
"AND","MLB 552        ","00 10  ","+30 14","    ","                          ","9.6 ","10.6","8.4  ","191","                                                             ","89 ","4  ","3  ","      "
"AND","STF    3       ","00 10.1","+46 23","    ","                          ","7.5 ","8.5 ","5    ","83 ","                                                             ","59 ","4  ","3  ","      "
"AND","h 1947         ","00 16.4","+43 36","    ","                          ","6.2 ","10.2","9.2  ","76 ","A0                                                           ","59 ","4  ","3  ","      "
"AND","STF   19       ","00 16.7","+36 38","    ","                          ","7   ","9.5 ","2.3  ","139","                                                             ","89 ","4  ","3  ","      "
"AND","GRB 34         ","00 18.4","+44 01","    ","                          ","8.1 ","10.5","35   ","56 ","Red Dwarf                                                    ","59 ","4  ","3  ","      "
"AND","STF   24       ","00 18.5","+26 08","    ","                          ","7   ","8   ","5.2  ","249","A2                                                           ","126","4  ","3  ","      "
"AND","26 And         ","00 18.7","+43 47","    ","STT   5                   ","6.5 ","10  ","6.2  ","238","B9                                                           ","59 ","4  ","3  ","      "
"AND","South  384     ","00 20.0","+38 14","    ","                          ","7   ","9.5 ","76.4 ","20 ","                                                             ","89 ","4  ","3  ","      "
"AND","AC 1           ","00 20.9","+32 59","    ","                          ","7   ","7.5 ","1.7  ","288","                                                             ","90 ","4  ","3  ","53827 "
"AND","STF   33       ","00 31.1","+34 06","    ","                          ","8.7 ","8.8 ","2.7  ","209","                                                             ","90 ","4  ","3  ","53949 "
"AND","STF   40       ","00 35.2","+36 50","AB  ","                          ","6.6 ","9.2 ","11.7 ","313","K0                                                           ","90 ","4  ","3  ","      "
"AND","Pi And         ","00 36.9","+33 43","    ","                          ","4.5 ","9   ","36.1 ","174","CoCo; W/B                                                    ","90 ","4  ","3  ","54033 "
"AND","Delta And      ","00 39.3","+30 52","AB  ","Burnham  491              ","3.5 ","13  ","28.7 ","298","                                                             ","90 ","4  ","3  ","54058 "
"AND","STF   47       ","00 40.3","+24 03","    ","                          ","7.5 ","9.4 ","16.6 ","205","                                                             ","126","4  ","3  ","74184 "
"AND","STF   72       ","00 54.6","+39 10","    ","                          ","8   ","9   ","23.9 ","178","CoCo; primay is carbon star; white companion                 ","60 ","4  ","3  ","54255 "
"AND","36 And         ","00 55.0","+23 38","    ","                          ","6   ","6.4 ","0.9  ","313","Period 124 years                                             ","127","4  ","3  ","74359 "
"AND","Mu And         ","00 56.7","+38 29","AB  ","h 1057                    ","3.9 ","12.9","42.2 ","307","                                                             ","90 ","4  ","3  ","54281 "
"AND","Mu And         ","00 56.7","+38 29","AC  ","h 1057                    ","3.9 ","11.4","34.2 ","126","                                                             ","90 ","4  ","3  ","      "
"AND","Mu And         ","00 56.7","+38 29","AD  ","h 1057                    ","3.9 ","9.8 ","266.7","40 ","                                                             ","90 ","4  ","3  ","      "
"AND","Eta And        ","00 57.2","+23 25","    ","                          ","4.4 ","11.3","133.4","232","G5                                                           ","127","4  ","3  ","74388 "
"AND","STF   79       ","01 00.1","+44 43","    ","                          ","6   ","7   ","7.8  ","193","                                                             ","60 ","4  ","3  ","36832 "
"AND","Burnham  397   ","01 07.8","+46 51","    ","                          ","7.5 ","10  ","8.7  ","142","                                                             ","60 ","4  ","3  ","      "
"AND","Beta And       ","01 09.7","+35 37","AC  ","Mirach; BAR 1             ","2.4 ","12.9","94.8 ","273","                                                             ","91 ","4  ","3  ","54471 "
"AND","Beta And       ","01 09.7","+35 37","AD  ","Mirach; BAR 1             ","2.4 ","12.1","80.4 ","144","                                                             ","91 ","4  ","3  ","54471 "
"AND","STF  108       ","01 18.8","+37 23","    ","                          ","7   ","10  ","6    ","62 ","                                                             ","91 ","4  ","3  ","      "
"AND","STF  112       ","01 20.8","+46 20","    ","                          ","8.8 ","9.2 ","20   ","334","                                                             ","61 ","4  ","3  ","37135 "
"AND","Tau And        ","01 40.6","+40 35","    ","                          ","5   ","10  ","52.5 ","329","                                                             ","61 ","4  ","3  ","37418 "
"AND","STF  154       ","01 45.0","+43 42","    ","                          ","8   ","8   ","5.3  ","273","                                                             ","61 ","4  ","3  ","37481 "
"AND","STF  157       ","01 46.8","+38 56","AC  ","                          ","9   ","9.5 ","12.5 ","116","                                                             ","92 ","4  ","3  ","      "
"AND","STF  157       ","01 46.8","+38 56","AD  ","                          ","9   ","11.3","55   ","282","                                                             ","92 ","4  ","3  ","      "
"AND","STF  179       ","01 53.2","+37 19","    ","                          ","7   ","8   ","3.6  ","160","                                                             ","92 ","4  ","3  ","      "
"AND","55 And         ","01 53.3","+40 43","    ","h 1094                    ","5.6 ","10.9","59.8 ","356","                                                             ","61 ","4  ","3  ","      "
"AND","56 And         ","01 56.2","+37 15","    ","                          ","5.7 ","6   ","190  ","300","Bino Pair                                                    ","92 ","4  ","3  ","55107 "
"AND","Gamma And      ","02 03.9","+42 20","    ","Almach                    ","2.3 ","5.5 ","9.8  ","63 ","CoCo; Y/B; superb object                                     ","62 ","4  ","3  ","37734 "
"AND","59 And         ","02 10.9","+39 02","    ","                          ","6.5 ","7   ","16.6 ","35 ","CoCo; Y/B                                                    ","62 ","4  ","3  ","55330 "
"AND","STF  228       ","02 14.0","+47 29","    ","                          ","6.6 ","7.1 ","1    ","283","                                                             ","62 ","4  ","3  ","37878 "
"AND","STF  245       ","02 18.7","+40 17","    ","                          ","7.2 ","8.3 ","11   ","293","CoCo; Y/B                                                    ","62 ","4  ","3  ","      "
"AND","STF  249       ","02 21.6","+44 36","    ","                          ","7   ","9   ","2.2  ","196","                                                             ","62 ","4  ","3  ","37971 "
"AND","STF  256       ","02 23.8","+49 20","    ","                          ","8.7 ","10  ","21   ","196","                                                             ","62 ","4  ","3  ","      "
"AND","STF 2985       ","23 10.0","+47 58","    ","                          ","7   ","8   ","15.3 ","254","CoCo; R/O                                                    ","88 ","9  ","8  ","52753 "
"AND","STF 2992       ","23 13.1","+40 00","    ","                          ","7.5 ","9   ","14.2 ","286","                                                             ","88 ","9  ","8  ","      "
"AND","STF 3004       ","23 20.7","+44 07","    ","                          ","6.5 ","10  ","13.2 ","178","                                                             ","88 ","9  ","8  ","      "
"AND","STF 3028       ","23 38.6","+35 02","    ","                          ","7   ","9.5 ","16   ","201","                                                             ","124","9  ","8  ","      "
"AND","Kappa And      ","23 40.4","+44 20","AB  ","h 1898                    ","4.3 ","11.3","46.8 ","194","                                                             ","59 ","9  ","8  ","53264 "
"AND","Kappa And      ","23 40.4","+44 20","AC  ","h 1898                    ","4.3 ","11.3","107  ","294","                                                             ","59 ","9  ","8  ","      "
"AND","STF 3042       ","23 51.8","+37 54","    ","                          ","7   ","7   ","5    ","88 ","                                                             ","89 ","9  ","8  ","      "
"AND","STF 3050       ","23 59  ","+33 43","    ","                          ","6.5 ","6.7 ","2.1  ","329","                                                             ","89 ","9  ","8  ","73656 "
"ANT","Zeta1 Ant      ","09 30.8","-31 53","    ","                          ","6.2 ","7.1 ","8    ","212","                                                             ","364","20 ","5  ","200444"
"ANT","Delta Ant      ","10 29.6","-30 36","    ","                          ","5.6 ","9.6 ","11   ","226","A0                                                           ","366","20 ","5  ","201442"
"APS","I 236          ","14 53.2","-73 11","    ","                          ","5.7 ","8   ","2.2  ","121","                                                             ","467","25 ","10 ","257206"
"AQL","5 Aql          ","18 46.5","-00 58","AB  ","                          ","6   ","7.8 ","13   ","121","CoCo; W/B                                                    ","250","16 ","7  ","142606"
"AQL","5 Aql          ","18 46.5","-00 58","AC  ","                          ","    ","11.2","26.3 ","146","                                                             ","250","16 ","7  ","      "
"AQL","STF 2404       ","18 50.8","+10 59","    ","                          ","6.9 ","8.1 ","3.6  ","183","                                                             ","205","16 ","7  ","      "
"AQL","STF 2408       ","18 52.0","+10 47","    ","                          ","8.6 ","9.9 ","2.3  ","92 ","                                                             ","205","16 ","7  ","104193"
"AQL","UV Aql         ","18 58.5","+14 22","    ","                          ","var.","11.7","20   ","330","Primary is carbon star; mag var 11.1-12.4                    ","206","16 ","7  ","      "
"AQL","11 Aql         ","18 59.1","+13 37","AB  ","STF 2424                  ","5.2 ","8.7 ","17.5 ","286","F5                                                           ","206","16 ","7  ","104308"
"AQL","Epsilon Aql    ","18 59.6","+15 04","    ","                          ","4   ","9.9 ","131.1","187","Fine field                                                   ","206","16 ","7  ","104318"
"AQL","STF 2426       ","19 00.0","+12 53","    ","                          ","7.4 ","8.8 ","16.9 ","260","CoCo                                                         ","206","16 ","7  ","104332"
"AQL","STF 2425       ","19 00.6","-08 07","    ","                          ","8.7 ","9.1 ","31.2 ","181","                                                             ","296","16 ","7  ","142907"
"AQL","STF 2432       ","19 01.9","+12 33","    ","                          ","6.8 ","10.8","14.8 ","88 ","                                                             ","206","16 ","7  ","      "
"AQL","STF 2436       ","19 02.2","+08 45","AB  ","                          ","8.3 ","9.1 ","34.6 ","309","                                                             ","206","16 ","7  ","124180"
"AQL","STF 2436       ","19 02.2","+08 45","AC  ","                          ","8.3 ","9.8 ","135.1","301","                                                             ","206","16 ","7  ","      "
"AQL","STF 2434       ","19 02.7","-00 43","    ","                          ","8.4 ","8.6 ","26   ","96 ","Well Matched Pair                                            ","251","16 ","7  ","      "
"AQL","STF 2443       ","19 04.1","+14 47","    ","                          ","8.6 ","9   ","6.8  ","312","                                                             ","206","16 ","7  ","104432"
"AQL","15 Aql         ","19 05.0","-04 02","    ","                          ","5.5 ","7.2 ","38.4 ","209","CoCo; YW/RP                                                  ","251","16 ","7  ","142996"
"AQL","STF 2439       ","19 05.0","-07 09","    ","                          ","9   ","9.8 ","22   ","199","                                                             ","296","16 ","7  ","      "
"AQL","STF 2446       ","19 05.8","+06 33","    ","                          ","7.1 ","9.1 ","9.5  ","152","                                                             ","206","16 ","7  ","      "
"AQL","STF 2449       ","19 06.4","+07 09","    ","                          ","7.2 ","7.9 ","8    ","291","F2                                                           ","206","16 ","7  ","124265"
"AQL","STF 2447       ","19 06.6","-01 21","    ","                          ","6.8 ","9.7 ","13.9 ","344","                                                             ","251","16 ","7  ","      "
"AQL","STT 178        ","19 15.3","+15 05","    ","                          ","5.7 ","7.8 ","90   ","268","Bino Pair                                                    ","206","16 ","7  ","      "
"AQL","STT 370        ","19 17.1","+09 20","    ","                          ","8.7 ","9.4 ","19.5 ","14 ","                                                             ","206","16 ","7  ","      "
"AQL","h  881         ","19 18.1","-05 25","    ","                          ","7.9 ","10.1","33.2 ","341","K0                                                           ","251","16 ","7  ","      "
"AQL","23 Aql         ","19 18.5","+01 05","AB  ","                          ","5.3 ","9.3 ","3.1  ","5  ","K0                                                           ","251","16 ","7  ","124487"
"AQL","23 Aql         ","19 18.5","+01 05","AC  ","                          ","    ","13.5","11.3 ","66 ","                                                             ","251","16 ","7  ","      "
"AQL","28 Aql         ","19 19.7","+12 22","AB  ","South  717                ","5.4 ","8.9 ","60.2 ","175","                                                             ","206","16 ","7  ","      "
"AQL","h  882         ","19 20  ","+10 37","    ","                          ","11  ","11  ","9.5  ","281","                                                             ","206","16 ","7  ","      "
"AQL","STF 2497       ","19 20.0","+05 35","    ","                          ","8   ","9.1 ","30   ","357","Fine object                                                  ","206","16 ","7  ","124514"
"AQL","STF 2498       ","19 20.2","+04 03","    ","                          ","8.4 ","9   ","12.1 ","66 ","                                                             ","251","16 ","7  ","      "
"AQL","STF 2510       ","19 23.3","+09 31","    ","                          ","9.1 ","9.1 ","8.8  ","181","                                                             ","206","16 ","7  ","124572"
"AQL","STF 2513       ","19 25.2","+02 27","    ","                          ","9.2 ","9.8 ","2.1  ","327","                                                             ","251","16 ","7  ","      "
"AQL","STF 2519       ","19 28.2","-09 32","    ","                          ","8.8 ","8.9 ","11.4 ","124","                                                             ","297","16 ","7  ","143434"
"AQL","STF 2531       ","19 29.5","+03 05","AC  ","                          ","8   ","9.9 ","31.4 ","30 ","                                                             ","252","16 ","7  ","124686"
"AQL","STF 2533       ","19 30.1","-00 27","    ","                          ","7.4 ","9.2 ","22.8 ","212","                                                             ","252","16 ","7  ","      "
"AQL","STF 2532       ","19 30.2","+02 54","AB  ","                          ","6.1 ","10.3","33.7 ","5  ","K5; CoCo; O/W                                                ","252","16 ","7  ","      "
"AQL","STF 2532       ","19 30.2","+02 54","BC  ","                          ","    ","13.6","34   ","135","                                                             ","252","16 ","7  ","      "
"AQL","STF 2545       ","19 38.7","-10 09","    ","                          ","6.8 ","8.7 ","3.8  ","329","                                                             ","297","16 ","7  ","      "
"AQL","STF 2562       ","19 42.8","+08 23","    ","                          ","6.9 ","8.8 ","27.1 ","252","                                                             ","207","16 ","7  ","      "
"AQL","Pi Aql         ","19 48.7","+11 49","    ","                          ","6.1 ","6.9 ","1.4  ","110","YW/YW                                                        ","207","16 ","7  ","105282"
"AQL","Alpha Aql      ","19 50.8","+08 52","AB  ","Altair                    ","0.8 ","9.6 ","165.2","301","                                                             ","207","16 ","7  ","      "
"AQL","Alpha Aql      ","19 50.8","+08 52","AC  ","Altair                    ","0.8 ","10.1","247.2","100","                                                             ","207","16 ","7  ","      "
"AQL","STF 2587       ","19 51.4","+04 05","    ","                          ","6.7 ","9.4 ","4.4  ","100","                                                             ","252","16 ","7  ","      "
"AQL","STF 2596       ","19 54.0","+15 18","    ","                          ","7.3 ","8.7 ","1.9  ","304","                                                             ","207","16 ","7  ","      "
"AQL","56 Aql         ","19 54.1","-08 34","    ","h  900                    ","6   ","12.1","46.5 ","77 ","                                                             ","297","16 ","7  ","      "
"AQL","57 Aql         ","19 54.6","-08 14","    ","STF 2594                  ","5.8 ","6.5 ","35.7 ","170","CoCo; Y/Gn                                                   ","297","16 ","7  ","143898"
"AQL","Beta Aql       ","19 55.3","+06 24","    ","Alshain; 60 Aql           ","3.7 ","11.6","12.9 ","5  ","K0                                                           ","207","16 ","7  ","      "
"AQL","STF 2613       ","20 01.4","+10 45","    ","                          ","7.6 ","7.8 ","3.8  ","355","                                                             ","208","16 ","8  ","      "
"AQL","STF 2621       ","20 04.6","+09 14","    ","                          ","8.6 ","8.8 ","5.7  ","224","                                                             ","208","16 ","8  ","      "
"AQL","STF 2628       ","20 07.8","+09 24","    ","                          ","6.6 ","8.8 ","3.2  ","339","CoCo; Y/P                                                    ","208","16 ","8  ","      "
"AQL","STF 2644       ","20 12.6","+00 52","    ","                          ","6.9 ","7.1 ","2.7  ","206","                                                             ","253","16 ","8  ","      "
"AQL","STF 2646       ","20 14.4","-06 03","    ","                          ","7.3 ","9.2 ","19   ","40 ","                                                             ","298","16 ","8  ","      "
"AQL","71 Aql         ","20 38.3","-01 06","    ","                          ","4.3 ","10.8","32   ","282","K0                                                           ","254","16 ","8  ","144649"
"AQR","1 Aqr          ","20 39.4","+00 29","AB  ","h 2984                    ","5.4 ","11.5","59.7 ","221","                                                             ","254","16 ","8  ","      "
"AQR","1 Aqr          ","20 39.4","+00 29","AC  ","h 2984                    ","5.4 ","11.3","69.8 ","36 ","                                                             ","254","16 ","8  ","      "
"AQR","4 Aqr          ","20 51.4","-05 38","AB  ","                          ","6.4 ","7.2 ","0.7  ","27 ","F2; Closing; 2012 sep 0.6'' ; PA 32.4 deg                    ","299","16 ","8  ","144877"
"AQR","Howe 55        ","20 57.2","+00 28","AB  ","                          ","6.1 ","9.8 ","26.2 ","72 ","K2                                                           ","254","16 ","8  ","126396"
"AQR","STF 2744       ","21 03.0","+01 32","    ","                          ","6.7 ","7.2 ","1.3  ","137","F5                                                           ","254","16 ","8  ","126491"
"AQR","12 Aqr         ","21 04.1","-05 49","    ","                          ","5.9 ","7.3 ","2.8  ","192","                                                             ","300","16 ","8  ","145065"
"AQR","STF 2809       ","21 37.6","-00 23","    ","                          ","6.3 ","8.7 ","31.1 ","163","A2                                                           ","256","17 ","8  ","145534"
"AQR","STF 2838       ","21 54.6","-03 18","    ","                          ","6.3 ","9.1 ","17.6 ","184","Star stream north preceeding                                 ","256","17 ","8  ","145735"
"AQR","29 Aqr         ","22 02.4","-16 58","AB  ","                          ","7.2 ","7.4 ","3.7  ","244","A2                                                           ","301","17 ","8  ","164830"
"AQR","41 Aqr         ","22 14.3","-21 04","AB  ","                          ","5.6 ","7.1 ","5    ","114","G8; CoCo; Y/B                                                ","347","23 ","8  ","190986"
"AQR","41 Aqr         ","22 14.3","-21 04","AC  ","                          ","    ","9   ","212.1","43 ","F5                                                           ","347","23 ","8  ","      "
"AQR","41 Aqr         ","22 14.3","-21 04","CD  ","                          ","    ","11.7","12   ","256","                                                             ","347","23 ","8  ","      "
"AQR","Gamma Aqr      ","22 21.6","-01 22","    ","Sadachbia; h 3106         ","4   ","12.2","37.4 ","140","                                                             ","257","17 ","8  ","146044"
"AQR","South 808      ","22 25.8","-20 14","    ","                          ","7.1 ","8.3 ","6.8  ","152","F8                                                           ","347","23 ","8  ","      "
"AQR","53 Aqr         ","22 26.6","-16 45","    ","                          ","6.4 ","6.6 ","3.1  ","334","Almost Matched Pair                                          ","302","17 ","8  ","165078"
"AQR","Zeta Aqr       ","22 28.8","-00 01","    ","                          ","4.3 ","4.5 ","2.3  ","183","W/W ; Slowly opening; 2015 sep 2.5'' ; PA 174 deg            ","257","17 ","8  ","146107"
"AQR","STF 2913       ","22 30.5","-08 07","    ","                          ","7.7 ","8.7 ","8.2  ","329","F0                                                           ","302","17 ","8  ","      "
"AQR","STF 2935       ","22 43.1","-08 19","AB  ","                          ","6.9 ","7.9 ","2.3  ","308","                                                             ","303","17 ","8  ","146271"
"AQR","Tau1 Aqr       ","22 47.7","-14 03","    ","69 Aqr                    ","5.8 ","9   ","23.7 ","121","B9; CoCo; W/R                                                ","303","17 ","8  ","165298"
"AQR","STF 2944       ","22 47.8","-04 14","AB  ","                          ","7.5 ","8   ","2.3  ","282","Almost Matched Pair; G0 G0                                   ","258","17 ","8  ","146315"
"AQR","STF 2944       ","22 47.8","-04 14","AC  ","                          ","    ","8.5 ","49.7 ","106","                                                             ","258","17 ","8  ","      "
"AQR","STF 2988       ","23 12.0","-11 56","    ","                          ","7.8 ","7.8 ","3.6  ","279","K0                                                           ","303","17 ","8  ","165551"
"AQR","Psi Aqr        ","23 15.9","-09 05","AXBC","                          ","4.5 ","10  ","49.6 ","312","K0                                                           ","304","17 ","8  ","146620"
"AQR","Psi Aqr        ","23 15.9","-09 05","BC  ","                          ","10.8","11.5","0.3  ","105","K; CoCo; Y/B                                                 ","304","17 ","8  ","146620"
"AQR","94 Aqr         ","23 19.1","-13 28","    ","                          ","5.3 ","7.3 ","12.7 ","350","CoCo; RW/B                                                   ","304","17 ","8  ","165624"
"AQR","96 Aqr         ","23 19.4","-05 07","    ","                          ","5.6 ","10.5","10.6 ","20 ","F2                                                           ","259","17 ","8  ","146669"
"AQR","Omega 2 Aqr    ","23 42.7","-14 33","    ","                          ","4.5 ","10.5","5.7  ","86 ","A0                                                           ","304","17 ","8  ","165842"
"AQR","107 Aqr        ","23 46.0","-18 41","    ","H 24                      ","5.7 ","6.7 ","6.6  ","136","CoCo; W/B                                                    ","305","17 ","8  ","165867"
"ARI","1 Ari          ","01 50.1","+22 17","    ","                          ","6.2 ","7.2 ","2.8  ","166","F5; CoCo; Y/B                                                ","128","4  ","3  ","74966 "
"ARI","STF  178       ","01 52.0","+10 49","    ","                          ","8.5 ","8.5 ","3.1  ","201","Matched Pair; W/W                                            ","173","10 ","3  ","92669 "
"ARI","Gamma Ari      ","01 53.5","+19 18","    ","Mesarthim                 ","4.8 ","4.8 ","7.8  ","0  ","Famous Matched Pair                                          ","129","10 ","3  ","92680 "
"ARI","Lambda Ari     ","01 57.9","+23 36","    ","                          ","4.9 ","7.7 ","37   ","46 ","CoCo; YW/B                                                   ","129","4  ","3  ","75051 "
"ARI","10 Ari         ","02 03.7","+25 55","AB  ","STF  208                  ","5.8 ","8   ","1    ","322","P about 300 yr.; a about 1.3''; motion direct.               ","129","4  ","3  ","      "
"ARI","STF  271       ","02 30.5","+25 14","AB  ","                          ","5.9 ","10.4","12.4 ","182","F5                                                           ","130","4  ","3  ","      "
"ARI","30 Ari         ","02 37.0","+24 39","    ","                          ","6.6 ","7.4 ","38.6 ","274","CoCo; Y/Gy                                                   ","130","4  ","3  ","75471 "
"ARI","33 Ari         ","02 40.7","+27 04","    ","                          ","5.5 ","8.4 ","28.6 ","0  ","A2; CoCo; T/B                                                ","130","4  ","3  ","75510 "
"ARI","STF  305       ","02 47.5","+19 22","    ","                          ","7.4 ","8.2 ","3.7  ","308","                                                             ","130","10 ","3  ","93105 "
"ARI","Pi Ari         ","02 49.3","+17 28","AB  ","                          ","5.2 ","8.7 ","3.2  ","120","                                                             ","130","10 ","3  ","93127 "
"ARI","Pi Ari         ","02 49.3","+17 28","AC  ","                          ","    ","10.8","25.2 ","110","                                                             ","130","10 ","3  ","      "
"ARI","41 Ari         ","02 50.0","+27 15","APxB","STT  47                   ","3.7 ","10.8","24.6 ","277","STTA 47 rej.                                                 ","130","4  ","3  ","      "
"ARI","STT  46        ","02 50.0","+30 32","    ","                          ","7   ","10  ","4.9  ","74 ","                                                             ","93 ","4  ","3  ","      "
"ARI","STF  326       ","02 55.6","+26 52","    ","                          ","7.6 ","9.8 ","5.9  ","220","K0 K5                                                        ","130","4  ","3  ","      "
"ARI","Epsilon Ari    ","02 59.2","+21 20","AB  ","                          ","5.2 ","5.5 ","1.5  ","208","A2                                                           ","131","4  ","3  ","75673 "
"ARI","STF  394       ","03 28.0","+20 28","    ","                          ","7.1 ","8.1 ","6.8  ","162","A3                                                           ","131","4  ","3  ","75941 "
"AUR","Omega Aur      ","04 59.3","+37 53","    ","4 Aur; STF 616            ","5   ","8   ","5.4  ","359","Magnitude contrast                                           ","96 ","5  ","4  ","57548 "
"AUR","5 Aur          ","05 00.3","+39 24","    ","                          ","6   ","9.7 ","3.7  ","265","F5                                                           ","65 ","5  ","4  ","57559 "
"AUR","STF  644       ","05 10  ","+37 18","    ","                          ","6.8 ","7   ","1.6  ","219","CoCo                                                         ","97 ","5  ","4  ","57704 "
"AUR","14 Aur         ","05 15.4","+32 41","AB  ","                          ","5.1 ","11.1","11.1 ","352","A2: CoCo; Y/O                                                ","97 ","5  ","4  ","40233 "
"AUR","14 Aur         ","05 15.4","+32 41","AC  ","                          ","    ","7.4 ","14.6 ","226","                                                             ","97 ","5  ","4  ","40233 "
"AUR","AE Aur         ","05 16.3","+34 19","    ","SEI 136                   ","6   ","8.5 ","8.4  ","355","Within nebula IC 405                                         ","97 ","5  ","4  ","      "
"AUR","16 AUR         ","05 18.2","+33 22","    ","STT 103                   ","4.8 ","10.6","4.2  ","56 ","A is a long-period sp-bin.                                   ","97 ","5  ","4  ","3872  "
"AUR","18 AUR         ","05 19.4","+33 59","    ","HO 18                     ","6.5 ","11.8","4.1  ","165","A5                                                           ","97 ","5  ","4  ","3893  "
"AUR","UV Aur         ","05 21.8","+32 31","    ","                          ","var.","10.4","3    ","245","Primary is carbon star; mag var 7.4-10.6                     ","97 ","5  ","4  ","      "
"AUR","STF  698       ","05 25.2","+34 51","    ","                          ","6.6 ","8.7 ","31.2 ","346","K0-K; CoCo; Y/B                                              ","97 ","5  ","4  ","57998 "
"AUR","STF  718       ","05 32.4","+49 24","    ","                          ","7.5 ","7.5 ","7.7  ","74 ","Matched Pair                                                 ","66 ","5  ","4  ","40401 "
"AUR","26 Aur         ","05 38.6","+30 30","AB  ","                          ","6   ","6.3 ","12   ","3  ","A2; CoCo; Y/B                                                ","97 ","5  ","4  ","58280 "
"AUR","26 Aur         ","05 38.6","+30 30","ABXC","STF  753                  ","    ","8   ","12.4 ","267","                                                             ","97 ","5  ","4  ","58280 "
"AUR","STF  796       ","05 49.9","+31 47","AB  ","                          ","7   ","8.1 ","3.8  ","62 ","A3                                                           ","98 ","5  ","4  ","58484 "
"AUR","Nu Aur         ","05 51.5","+39 08","    ","H  90                     ","4.2 ","9.5 ","54.6 ","206","                                                             ","66 ","5  ","4  ","58502 "
"AUR","Burnham 1053   ","05 53.5","+37 20","    ","                          ","6.9 ","8.9 ","1.4  ","350","F5                                                           ","98 ","5  ","4  ","      "
"AUR","Theta Aur      ","05 59.7","+37 13","    ","                          ","2.6 ","7.1 ","3.6  ","313","BW/BW; difficult pair                                        ","98 ","5  ","4  ","58636 "
"AUR","35 Cam         ","06 04.3","+51 34","AB  ","STT 128                   ","6.5 ","8.5 ","40   ","13 ","                                                             ","41 ","1  ","1  ","25549 "
"AUR","41 Aur         ","06 11.6","+48 43","    ","                          ","6.3 ","7   ","7.7  ","356","A0; CoCo; W/L                                                ","67 ","5  ","4  ","40924 "
"AUR","STF  872       ","06 15.6","+36 09","AB  ","                          ","6.9 ","7.9 ","11.3 ","217","F0; CoCo; Y/L                                                ","98 ","5  ","4  ","58904 "
"AUR","STT 147        ","06 32.3","+38 05","    ","                          ","6.6 ","8.5 ","43   ","73 ","W/W/W; triple                                                ","99 ","5  ","4  ","59234 "
"AUR","STF  929       ","06 35.4","+37 43","    ","                          ","7.2 ","8.3 ","6    ","25 ","G5                                                           ","99 ","5  ","4  ","      "
"AUR","STF  941       ","06 38.7","+41 35","AB  ","                          ","7.2 ","8.2 ","2    ","81 ","B9                                                           ","67 ","5  ","4  ","41232 "
"AUR","STF  941       ","06 38.7","+41 35","AC  ","                          ","    ","10.2","82.8 ","134","                                                             ","67 ","5  ","4  ","      "
"AUR","54 Aur         ","06 39.6","+28 16","    ","                          ","6   ","7.8 ","0.9  ","36 ","B8                                                           ","99 ","5  ","4  ","78593 "
"AUR","STT 154        ","06 44.3","+40 37","    ","                          ","6.9 ","9.4 ","23.8 ","110","M                                                            ","67 ","5  ","4  ","41306 "
"AUR","Psi5 Aur       ","06 46.7","+43 35","    ","                          ","5.3 ","8.3 ","36.2 ","31 ","G0                                                           ","67 ","5  ","4  ","41330 "
"AUR","59 Aur         ","06 53.1","+38 51","AB  ","STF  974                  ","6.2 ","9.5 ","22.3 ","223","                                                             ","99 ","5  ","4  ","59571 "
"BOO","1 Boo          ","13 40.7","+19 57","AB  ","                          ","5.8 ","8.7 ","4.6  ","136","A2; B/B                                                      ","151","14 ","6  ","82942 "
"BOO","STF 1785       ","13 49.1","+26 59","    ","                          ","7.6 ","8   ","3.3  ","145","                                                             ","151","7  ","6  ","83011 "
"BOO","South  656     ","13 50.4","+21 17","    ","                          ","6.8 ","7.3 ","86   ","208","Bino pair                                                    ","151","7  ","6  ","      "
"BOO","STF 1793       ","13 59.1","+25 49","    ","                          ","7.5 ","8.5 ","4.6  ","242","                                                             ","151","7  ","6  ","83108 "
