"CON","NAME           ","R.A.   ","DEC.  ","COMP","OTHER NAMES               ","Mag ","Mag2","SEP  ","PA ","NOTES                                                        ","U2K","TIR","BSA","SAO   "
"RET","Alpha Ret      ","04 14.4","-62 28","    ","h 3638                    ","3.4 ","12  ","48.5 ","354","                                                             ","444","24 ","9  ","      "
"RET","Epsilon Ret    ","04 16.5","-59 17","    ","JSP 56                    ","4.4 ","12.5","13.7 ","35 ","                                                             ","420","24 ","9  ","248969"
"RET","Theta Ret      ","04 17.7","-63 15","    ","                          ","5.9 ","7.7 ","4    ","2  ","                                                             ","444","24 ","9  ","233463"
"RET","h 3670         ","04 33.6","-62 49","    ","                          ","5.9 ","9.2 ","32   ","99 ","CoCo; R/W                                                    ","444","24 ","9  ","249009"
"SCL","h 5440         ","00 02.0","-27 09","    ","                          ","8.6 ","8.9 ","3.3  ","288","F8                                                           ","305","18 ","3  ","      "
"SCL","Zeta Scl       ","00 02.3","-29 43","    ","                          ","5   ","13  ","3    ","320","B7                                                           ","350","18 ","3  ","      "
"SCL","Kappa1 Scl     ","00 09.3","-27 59","AB  ","                          ","6.1 ","6.2 ","1.4  ","265","F2 F2                                                        ","305","18 ","3  ","166083"
"SCL","h 3377         ","00 33.6","-26 06","    ","                          ","7.5 ","9.7 ","20.1 ","60 ","Primary is a carbon star                                     ","306","18 ","3  ","166362"
"SCL","h 3375         ","00 33.7","-35 00","    ","                          ","6.6 ","8.4 ","5.3  ","168","G0                                                           ","351","18 ","3  ","      "
"SCL","h 1991         ","00 38.8","-25 06","    ","                          ","6.6 ","9.7 ","46.9 ","95 ","K0                                                           ","306","18 ","3  ","166443"
"SCL","h 1992         ","00 38.9","-25 36","    ","                          ","7.8 ","8.4 ","45.4 ","246","A3 K                                                         ","306","18 ","3  ","      "
"SCL","Lambda1 Scl    ","00 42.7","-38 28","    ","                          ","6.7 ","7   ","0.7  ","3  ","A0                                                           ","351","18 ","3  ","192690"
"SCL","h 3436         ","01 27.1","-30 14","    ","                          ","6.9 ","9.7 ","9.8  ","126","K0                                                           ","352","18 ","3  ","193123"
"SCL","Tau Scl        ","01 36.1","-29 54","    ","                          ","6   ","7.1 ","2.2  ","338","F0; looks like Jupiter with four moons aligned               ","352","18 ","3  ","193201"
"SCL","Epsilon Scl    ","01 45.7","-25 02","AD  ","h 3461                    ","5.5 ","11.5","141.8","197","                                                             ","308","18 ","3  ","193201"
"SCL","Epsilon Scl    ","01 46.6","-25 03","AB  ","h 3461                    ","5.4 ","8.6 ","4.7  ","34 ","F0                                                           ","308","18 ","3  ","193201"
"SCL","Howe 93        ","23 37.1","-31 52","    ","                          ","6.5 ","9.8 ","5.5  ","251","K0                                                           ","385","23 ","8  ","214659"
"SCL","h 5417         ","23 44.5","-26 15","    ","                          ","6.3 ","9   ","8.5  ","320","F5                                                           ","305","23 ","8  ","192116"
"SCL","Delta Scl      ","23 48.9","-28 08","AB  ","                          ","4.5 ","11.5","3.9  ","243","A0                                                           ","350","23 ","8  ","192168"
"SCL","h 3216         ","23 48.9","-28 08","AC  ","                          ","    ","9.3 ","74.3 ","297","G                                                            ","350","23 ","8  ","      "
"SCL","h 5429         ","23 53.8","-29 23","    ","                          ","7.5 ","10.6","29.4 ","226","K5; Primary is carbon star                                   ","350","23 ","8  ","19224 "
"SCL","Dunlop 253     ","23 54.4","-27 03","    ","Lal 192                   ","6.9 ","7.5 ","6.6  ","270","A2                                                           ","305","23 ","8  ","192230"
"SCL","LAL 193        ","23 59.5","-26 31","    ","                          ","8.2 ","8.5 ","10.6 ","170","Almost Matched Pair; F0 F0                                   ","305","23 ","8  ","192295"
"SCO","2 Sco          ","15 53.6","-25 20","    ","                          ","4.7 ","7.4 ","2.5  ","274","B3                                                           ","335","21 ","6  ","183896"
"SCO","Burnham   38   ","16 02  ","-25 01","    ","                          ","8   ","10.5","4.4  ","348","                                                             ","335","22 ","7  ","      "
"SCO","Xi Sco         ","16 04.4","-11 22","AB  ","STF 1998                  ","4.8 ","5.1 ","0.5  ","358","CoCo; W/Gy                                                   ","290","15 ","7  ","159665"
"SCO","Xi Sco         ","16 04.4","-11 22","AC  ","                          ","    ","7.3 ","7.6  ","51 ","                                                             ","290","15 ","7  ","159665"
"SCO","STF 1999       ","16 04.4","-11 27","    ","                          ","7.4 ","8.1 ","11.6 ","   ","Quintuple with Xi Sco                                        ","290","15 ","7  ","159670"
"SCO","Beta Sco       ","16 05.4","-19 48","    ","Graffias                  ","2.6 ","4.9 ","13.6 ","21 ","CoCo; B/W                                                    ","335","15 ","7  ","159682"
"SCO","11 Sco         ","16 07.6","-12 45","    ","                          ","5.6 ","9.9 ","3.3  ","257","A0                                                           ","290","15 ","7  ","159715"
"SCO","BrsO 11        ","16 09.5","-32 39","    ","                          ","6.7 ","7.4 ","7.8  ","85 ","G5                                                           ","374","22 ","7  ","207396"
"SCO","Nu Sco         ","16 12.0","-19 28","AB  ","Lesath; H   6             ","4.3 ","6.8 ","0.9  ","2  ","CoCo; Y/O                                                    ","335","15 ","7  ","159763"
"SCO","Nu Sco         ","16 12.0","-19 28","AC  ","Laseth                    ","    ","6.4 ","41.1 ","336","Bino pair                                                    ","335","15 ","7  ","159763"
