catalog_identifier	name	long_name	ra	dec	magnitude	major_axis	Type	Const
524	Har 524	NGC 4472	187.729166666667	8.01527777777778	8	9	Gx	Vir
525	Har 525	delta Crv	187.254166666667	16.4971888888889	2.94	0	***	Crv
526	Har 526	BU 28	187.558333333333	-13.4088888888889	6.4	0	D*	Crv
527	Har 527	NGC 4486	187.991666666667	12.4052777777778	8	7	Gx	Vir
528	Har 528	PK 299+18.1	187.75	-44.2333	13	0	PN	Cen
529	Har 529	gamma Cru	187.858333333333	57.8933	1.59	0	***	Cru
530	Har 530	NGC 4501	188.033333333333	14.4178111111111	9	7	Gx	Com
531	Har 531	NGC 4517	188.475	0.131422222222222	10	10.2	Gx	Vir
532	Har 532	NGC 4526	188.545833333333	7.71416666666667	9	7.2	Gx	Vir
533	Har 533	NGC 4535	188.620833333333	8.21277777777778	9	6.8	Gx	Vir
534	Har 534	24 Com	188.816666666667	18.3586111111111	5	0	D*	Com
535	Har 535	NGC 4548	188.895833333333	14.5111111111111	10	5.4	Gx	Com
536	Har 536	NGC 4552	189.204166666667	12.5541666666667	9	4	Gx	Vir
538	Har 538	NGC 4565	189.120833333333	25.9849666666667	9.6	16	Gx	Com
539	Har 539	NGC 4567	189.420833333333	11.2561111111111	11	3	Gx	Vir
540	Har 540	NGC 4569	189.275	13.1733666666667	9	9.5	Gx	Vir
537	Har 537	NGC 4559	189.245833333333	27.9786444444444	9.8	10	Gx	Com
541	Har 541	NGC 4579	189.716666666667	11.8167	9	5.5	Gx	Vir
542	Har 542	Rup 106	189.5	-51.15	11	0	Gb	Cen
543	Har 543	NGC 4590	190.154166666667	-26.7572222222222	8	12	Gb	Hya
544	Har 544	NGC 4594	190.033333333333	-11.6222555555556	8	9	Gx	Vir
545	Har 545	STF 1669	190.354166666667	-13.0305888888889	5.2	0	D*	Crv
546	Har 546	gamma Cen	190.416666666667	-48.9722555555556	2.2	0	D*	Cen
547	Har 547	gamma Vir	190.454166666667	1.56611111111111	3.44	0	***	Vir
548	Har 548	NGC 4621	190.545833333333	11.6622222222222	9	5	Gx	Vir
549	Har 549	31 Vir	190.525	6.78913333333333	5.6	0	D*	Vir
550	Har 550	NGC 4631	190.566666666667	32.5383	9.3	15	Gx	CVn
551	Har 551	NGC 4649	191.2	11.5513888888889	8	7	Gx	Vir
552	Har 552	NGC 4656	191.029166666667	32.1830888888889	10	13.8	Gx	CVn
553	Har 553	NGC 4666	191.320833333333	0.480033333333333	10	4.5	Gx	Vir
554	Har 554	beta Mus	191.616666666667	-68.1192	3	0	D*	Mus
555	Har 555	beta Cru	191.970833333333	59.3002777777778	1.25	0	***	Cru
556	Har 556	NGC 4697	192.433333333333	-5.8	9.3	6	Gx	Vir
557	Har 557	NGC 4696	192.491666666667	-41.3253111111111	10	3.5	Gx	Cen
558	Har 558	NGC 4710	192.695833333333	15.1794777777778	11	5.1	Gx	Com
559	Har 559	RCW 71	192.5	-61.5833	0	0	Nb	Cru
560	Har 560	NGC 4725	192.645833333333	25.5138888888889	9	11	Gx	Com
561	Har 561	NGC 4736	192.754166666667	41.1178111111111	8	7	Gx	CVn
562	Har 562	NGC 4754	193.108333333333	11.3289222222222	10	4.7	Gx	Vir
563	Har 563	35 Com	193.358333333333	21.2264222222222	4.9	0	D*	Com
564	Har 564	NGC 4755	193.695833333333	-60.3341333333333	4.2	10	OC	Cru
565	Har 565	NGC 4782	193.9375	-12.5686444444444	11	1.5	Gx	Crv
566	Har 566	mu Cru	193.695833333333	-57.1803111111111	5.1	0	D*	Cru
