Collinder number	NGC/IC number	Other names	Image	Object type	Constellation	Apparent magnitude
Cr 399	-	Al Sufi's Cluster, Brocchi's Cluster, Coathanger	Cr399.jpg	Asterism	Vulpecula	3.6
Cr 400	NGC 6802		Ngc 6802 ver.jpg	Open cluster	Vulpecula	8.8
Cr 401	-			Open cluster	Aquila	7.0
Cr 402	NGC 6811		NGC 6811.png	Open cluster	Cygnus	6.8
Cr 403	NGC 6819		NGC 6819 – An Open Cluster in the Constellation Cygnus.jpg	Open cluster	Cygnus	7.3
Cr 404	-	[note 5]	Sh 2-86RGBHaRGBHunter.jpg	Open cluster	Vulpecula	14.9
Cr 405	NGC 6823		Sh 2-86RGBHaRGBHunter.jpg	Open cluster	Vulpecula	7.1
Cr 406	NGC 6830		NGC 6830.jpg	Open cluster	Vulpecula	7.9
Cr 407	NGC 6834		Ngc 6834.jpg	Open cluster	Cygnus	7.8
Cr 408	-	Harvard 20		Open cluster	Sagitta	7.7
Cr 409	NGC 6838		Messier 71 Hubble WikiSky.jpg	Globular cluster	Sagitta	8.4
Cr 410	NGC 6846			Open cluster	Cygnus	14.2
Cr 411	-	Melotte 227		Open cluster	Octans	5.3
Cr 412	NGC 6866		NGC 6866.png	Open cluster	Cygnus	7.6
Cr 413	NGC 6871		NGC 6871.png	Open cluster	Cygnus	5.2
Cr 414	IC 1311		IC1311 - SDSS DR14.jpg	Globular cluster	Cygnus	13.1
Cr 415	NGC 6883			Open cluster	Cygnus	8.0
Cr 416	NGC 6882			Open cluster	Vulpecula	8.1
Cr 417	NGC 6885		NGC 6885 large.png	Open cluster	Vulpecula	8.1
Cr 418	IC 4996			Open cluster	Cygnus	7.3
Cr 419	-			Open cluster	Cygnus	7.6
Cr 420	NGC 6910		NGC 6910.png	Open cluster	Cygnus	7.4
Cr 421	-		Collinder 421.jpg	Open cluster	Cygnus	10.1
Cr 422	NGC 6913		Messier object 029.jpg	Open cluster	Cygnus	6.6
Cr 423	NGC 6939		NGC 6939.png	Open cluster	Cepheus	7.8
Cr 424	NGC 6940		NGC 6940.png	Open cluster	Vulpecula	6.3
Cr 425	NGC 6996			Open cluster	Cygnus	10.0
Cr 426	NGC 6994		Messier 073 2MASS.jpg	Asterism	Aquarius	8.9
Cr 427	-			Open cluster	Cepheus	13.8
Cr 428	-			Open cluster	Cygnus	8.7
Cr 429	NGC 7023	[note 6]	Iris nebula ngc7023.jpg	Open cluster	Cepheus	7.4
Cr 430	NGC 7031			Open cluster	Cygnus	9.1
Cr 431	IC 1369		IC 1369.jpg	Open cluster	Cygnus	7.6
Cr 432	NGC 7044			Open cluster	Cygnus	8.8
Cr 433	NGC 7062		NGC 7062.png	Open cluster	Cygnus	12.0
Cr 434	NGC 7063		NGC 7063.png	Open cluster	Cygnus	8.3
Cr 435	NGC 7067			Open cluster	Cygnus	7.0
Cr 436	NGC 7086		NGC 7086.png	Open cluster	Cygnus	9.7
Cr 437	NGC 7092		M39.jpg	Open cluster	Cygnus	8.4
Cr 438	NGC 7092		M39.jpg	Open cluster	Cygnus	4.6
Cr 439	IC 1396	Elephant's Trunk Nebula	54345main ic1396 highres.jpg	Open cluster	Cepheus	3.5
Cr 440	NGC 7128			Open cluster	Cygnus	9.7
Cr 441	NGC 7129		Ngc7129 RGB2 Small2.jpg	Open cluster	Cepheus	11.5
Cr 442	NGC 7142		NGC 7142.jpg	Open cluster	Cepheus	9.3
Cr 443	NGC 7160		NGC 7160.png	Open cluster	Cepheus	6.1
Cr 444	NGC 7209		NGC 7209.jpg	Open cluster	Lacerta	7.7
Cr 445	IC 1434		IC 1434.jpg	Open cluster	Lacerta	9.0
Cr 446	NGC 7226			Open cluster	Cepheus	9.6
Cr 447	NGC 7235		NGC 7235.png	Open cluster	Cepheus	7.7
Cr 448	NGC 7243		NGC 7243 .jpg	Open cluster	Lacerta	6.4
Cr 449	NGC 7245			Open cluster	Lacerta	9.2
Cr 450	NGC 7261			Open cluster	Cepheus	8.4
Cr 451	NGC 7296			Open cluster	Lacerta	9.7
Cr 452	NGC 7380		Wizard Nebula.jpg	Open cluster	Cepheus	7.2
Cr 453	NGC 7419		NGC 7419 2MASS.jpg	Open cluster	Cepheus	13.0
Cr 454	NGC 7510			Open cluster	Cepheus	7.9
Cr 455	NGC 7654		M52atlas.jpg	Open cluster	Cassiopeia	6.9
Cr 456	NGC 7686		NGC 7686.png	Open cluster	Andromeda	5.6
Cr 457	NGC 7762			Open cluster	Cepheus	10.0
Cr 458	-	Harvard 21		Open cluster	Cassiopeia	9.0
Cr 459	NGC 7788		NGC 7788.png	Open cluster	Cassiopeia	9.4
Cr 460	NGC 7789	Caroline's Rose Cluster	NGC7789HunterWilson.jpg	Open cluster	Cassiopeia	6.7
Cr 461	NGC 7790		NGC 7790.png	Open cluster	Cassiopeia	8.5
Cr 462	NGC 189			Open cluster	Cassiopeia	8.8
Cr 463	-		Cr 463.png	Open cluster	Cassiopeia	5.7 [5]
Cr 464	-			Open cluster	Camelopardalis	4.2
Cr 465	-			Open cluster	Monoceros	10.1
Cr 466	-			Open cluster	Monoceros	11.1
Cr 467	-			Open cluster	Monoceros	10.1
Cr 468	-			Open cluster	Sagittarius	11.0
Cr 469	-			Open cluster	Sagittarius	9.1
Cr 470	IC 5146		Cocoon-Nebula.jpg	Open cluster	Cygnus	7.2
Cr 471	-	[note 7]	Cocoon-Nebula.jpg	Open cluster	Cepheus	-
