001.4-03.4 |17 59 16.  -29 25 12. d 85..3143|ShWi 2-1     |         |           |SHAW et al 1985                 |
001.5-06.7 |18 12 58.63-30 53 11.3  90..1502|SwSt 1       |  1-06 2 |18129-3053 |SWINGS et al 1940               |AS 295B,ESO 457-02,He 2-377,Sa 2-319,VV 164,VV' 378,Wray 16-397
001.6-01.3 |17 51 25.  -28 12 12. d 77..1552|Bl Q         |  1-01 2 |17513-2812 |BLANCO 1961                     |ESO 456-14,Sa 3- 91,Wray 17- 102
001.7+05.7 |17 25 00.  -24 22 54. d 67.30013|H 1-14       |  1+05 1 |17249-2423 |HARO 1952                       |ESO 519-19,Sa 2-200,VV' 196
001.7-01.6 |17 52 53.  -28 13 48. d 77..1552|H 2-31       |  1-01 3 |           |HARO 1952                       |ESO 456-19,Sa 3- 95,VV' 288
001.7-04.4 |18 04 02.7 -29 41 48.7  83..1405|H 1-55       |  1-04 1 |           |HARO 1952                       |ESO 456-56,He 2- 347,VV' 345,Wray 16- 373
001.7-04.6 |18 04 41.9 -29 45 02.4  83..1405|H 1-56       |  1-04 2 |18047-2945 |HARO 1952                       |ESO 456-57,He 3-1592,Sa 2-299,VV' 347
001.8-03.8 |18 01 53.  -29 19 42. d 85..3143|ShWi 2-7     |         |           |SHAW et al 1985                 |
002.0-02.0 |17 55 12.  -28 14 36. d 77..1552|H 1-45       |  2-02 1 |17552-2814 |HARO 1952                       |ESO 456-27,He 2- 317,Sa 2-272,VV' 303,Wray 16- 340
002.0-06.2 |18 11 53.8 -30 16 32.   76..9055|M 2-33       |  2-06 1 |18118-3016 |MINKOWSKI 1947                  |ESO 456-80,He 2- 372,Sa 2-317,StWr 2-11,VV 162,VV' 375,Wray 16- 394
002.0-13.4 |18 42 34.1 -33 23 52.   73..9034|IC 4776      |  2-13 1 |18425-3323 |FLEMING 1896                    |ARO 522,ESO 396-02,He 2- 421,Sa 2-363,StWr 2-23,VV 204,VV' 446,Wray 16- 418,Y-C 2- 27
002.1+03.3 |17 34 46.0 -25 19 01.   88.30862|PBOZ 24      |         |17347-2519 |POTTASCH et al 1988             |
002.1-02.2 |17 56 09.7 -28 13 38.   76..9055|M 3-20       |  2-02 2 |17561-2813 |MINKOWSKI 1948                  |ESO 456-32,He 2- 319,Sa 2-276,VV' 307,Wray 16- 343
002.1-04.2 |18 03 56.1 -29 13 20.   76..9055|H 1-54       |  2-04 1 |18039-2913 |HARO 1952                       |AS 272,ESO 456-55,He 2- 346,MHa 82- 21,Sa 2-298,VV' 344,Wray 16- 372
002.2+00.5 |17 45 38.3 -26 42 34.7  89.30002|Te 2337      |         |           |TERZAN 1989                     |
002.2-02.5 |17 57 50.1 -28 16 16.   88..2065|KFL  2       |         |           |KINMAN et al 1988               |
002.2-02.7 |17 58 32.7 -28 25 46.   76..9055|M 2-23       |  2-02 4 |17585-2825 |MINKOWSKI 1947                  |ESO 456-34,He 2- 326,My 112,Sa 2-281,VV 136,VV'316,Wray 16- 350
