005.5-04.0 |    6.6  88..2065, 71..9065
005.6-04.7 |   12.4  88..2065
005.7-03.6 |   14.2  88..2065
005.7-05.3 |    9.3  88..3092, 88..2065, 71..9065|   7.4  91..1533
005.8+05.1 |   16.8  71..9065                    |  18.   89..1570
005.8-06.1 |    8.0  88..3092, 88..2065, 71..9065|   5.   89..1570
005.9-02.6 |   10.   78..1561
006.0+02.8 |    0.   91.30002
006.0+03.1 |   14.8  71..9065
006.0-03.6 |    5.1  88..3092, 88..2065, 90.00001|   4.    ZPB 89
006.0-41.9 |    8.2  89.13504
006.1+08.3 |<   7.   91.30002                    |   1.9  90..1502
006.2+01.0 |   12.   85..1131
006.2-03.7 |    8.5  88..2065
006.3+03.3 |    6.2  71..9065
006.3+04.4 |    3.8  71..9065                    |   3.    ZPB 89
006.4+02.0 |    0.   CS 90                       |   7.0  89..1570
006.4-04.6 |    6.6  88..3092, 88..2065, 71..9065
006.5-03.1 |    0.   91.30002
006.7-02.2 |    8.4  71..9065
006.8+02.0 |    3.8  71..9065
006.8+02.3 |<   6.   CS 90                       |   7.9  91..1533
006.8+04.1 |    4.2  71..9065                    |   5.    ZPB 89
006.8-03.4 |    4.6  71..9065
006.8-08.6 |   13.   77..1548
006.8-19.8 |    0.   CS 90
007.0+06.3 |    6.4  71..9065
007.0-06.0 |    8.2  71..9065                    |   6.5  89..1570
007.0-06.8 |<   7.   67.30013                    |   3.7  89..1570
007.2+01.8 |    5.   71..9065                    |   6.   89..1570
007.5+04.3 |    0.   CS 90
007.5+07.4 |    9.   71..9065                    |   6.   89..1570
007.6+06.9 |    7.   71..9065
007.8-03.7 |    8.4  71..9065
007.8-04.4 |    8. : CS 90                       |   2.5   ZPB 89
007.9+10.1 |    0.   78..1561
008.0+03.9 |   33.   71..9065                    |> 34.    ZPB 89
008.1-04.7 |    3.2  71..9065
008.2+06.8 |<  10.   67.30013                    |   1.   90..1502
008.2-04.8 |    3.8  71..9065
008.3-01.1 |    5.   71..9065                    |   4.3  89..1570
008.3-07.3 |    2.6  71..9065, 87...536          |   3.    ZPB 89
008.4-03.6 |    7.6  71..9065
008.6-02.6 |    0.   78..1561
008.6-07.0 |    3. : 91.30002
008.8+05.2 |   19.   71..9065                    |   5.6  91..1533
009.0+04.1 |    6.4  71..9065                    |   7.   89..1570
009.3+02.8 |    0.   CS 90
009.3+04.1 |    0.   CS 90                       |   5.   91..1533
009.4-05.0 |   15.5  71..9065, 87...536
009.4-09.8 |    6.   71..9065                    |   7.5  89..1570
009.6+10.5 |   18.4  71..9065
009.6+14.8 |   15.5  67.30013, 71..9065, 85.30011|  30.6  91..1533
009.6-10.6 |    5.   71..9065                    |   6.   89..1570
009.8-04.6 |    5.6  71..9065                    |   6.8  91..1533
009.8-07.5 |    8.5  89...191
010.1+00.7 |   10.   71..9065                    |>  9.    ZPB 89
010.4+04.5 |    6.4  71..9065                    |   8.   89..1570
010.6+03.2 |    0.   91.30002
010.7+07.4 |   10.   91.30002                    |   3.2  91..1533
010.7-06.4 |    4.   71..9065, 85.30011, 87...536|   1.2  84..2631
010.7-06.7 |    7.6  71..9065                    |   5.6  91..1533
010.8+18.0 |   17.2  71..9065                    |  46.   89..1570
010.8-01.8 |    8.5  87...536, 71..9065
011.0+05.8 |    5.   87...536, 71..9065          |   4.   90..1502
011.0+06.2 |    5.8  71..9065                    |   7.5  89..1570
011.0-05.1 |    4.6  71..9065                    |   5.5  89..1570
011.1+07.0 |    0.   CS 90
011.1+11.5 |<   7.   91.30002                    |   1.5  90..1502
011.3+02.8 |<   5.   67.30013
011.3-09.4 |    2.   71..9065                    |   1.7  89..1570
011.7-00.0 |    5.2  71..9065
011.7-00.6 |    7.6  71..9065, 87...536
011.7-06.6 |    0.   91.30002
011.9+04.2 |    7.6  71..9065                    |   9.   89..1570
012.2+04.9 |    4.   90..1005
012.5-09.8 |    3.6  71..9065                    |   1.5  91..1533
012.6-02.7 |    0.   CS 90                       |   2.5   ZPB 89
013.0-04.3 |    5.   71..9065
013.1+04.1 |    4.8  71..9065                    |   3.8  89..1570
013.3+32.7 |    6. : 91.30002                    |   3.   90..1502
013.4-03.9 |    4.8  71..9065                    |   5.5  89..1570
013.7-10.6 |   15. : CS 90
013.8-02.8 |  110.   87..1594
013.8-07.9 |   13.2  71..9065
014.0-05.5 |    0.   77..1548
014.2+04.2 |    6.   91.30002
014.2-07.3 |    7. : CS 90                       |   0.9  89..1570
014.3-05.5 |    0.   77..1548                    |   1.   90..1502
014.6-04.3 |    5.6  71..9065
014.7-11.8 |   85.   87..1594
014.8-25.6 |   46.   87..1593
014.9+06.4 |   24.6  71..9065
014.9-03.1 |   13. : 91.30002
015.4-04.5 |    6.   71..9065
015.6-03.0 |   53.   71..9065
015.9+03.3 |<   5.   67.30013                    |   4.   89..1570
016.0+13.5 |   60.   71..9065
