|NAME         |OTHER NAMES                        |CON|RA J2K |DecJ2K|V   |B-V |SPEC. |NOTES                                                       |
|S Cam        |SAO 13563; CCCS 370; HD 36972      |CAM|05 41.0|+68 48| 8.1|2.49|Np    |Period 326 days; 8.1-11m                                    |
|R Cap        |BD -14:5663; CCCS 2867             |CAP|20 11.3|-14 16| 9.4|3.8 |Ne    |Period 345 days; 9.4-14m                                    |
|RT Cap       |BD -21 5672; SEE 412; HD 192737    |CAP|20 17.1|-21 19| 7.5|2.45|N;C6  |Period 393 days; 8.9-11.4m; 10m companion 3 min NE          |
|Upsilon Cap  |HD 196777; SAO 163779              |CAP|20 40.0|-18 08| 5.2|2.02|M2    |                                                            |
|HD 91056     |SAO 250979                         |CAR|10 28.9|-64 10| 5.3|1.86|K3    |20 min west of IC 2602                                      |
|CPD -62 1643 |SAO 251015                         |CAR|10 34.3|-62 43| 8.4|4.5 |N     |2 deg NW of IC 2602                                         |
|V 361 Car    |SAO 238228                         |CAR|10 35.7|-58 15| 7.2|1.78|M2    |1 min SW of center of rich CL NGC 3293                      |
|RT Car       |SAO 238424; CD -58 3538            |CAR|10 44.8|-59 25| 8.6|2.15|M2    |15 min N or Eta Carinae; S of CL Tr 15                      |
|HD 96584     |TYC 8628-1024-1                    |CAR|11 06.8|-58 35| 8.3|1.62|      |12 min NE of center of CL NGC 3532                          |
|WZ Cas       |SAO 21002; STT 254; EsB 764        |CAS|00 01.3|+60 21| 6.9|2.84|N1p   |Period 186 days; 8.0-11.0m; 2min from 9m Blue-Wh star       |
|UX Cas       |CCCS 4                             |CAS|00 13.4|+63 27| 9.7|3.36|N;C6  |                                                            |
|ST Cas       |BD +49:41; CCCS 10                 |CAS|00 17.5|+50 17| 7.5|1.6 |N;C4  |Period is irregular; 9.0-10.5m; pF but ruddy                |
|FR Cas       |CCCS 13                            |CAS|00 22.4|+59 12| 9.6|2.81|N;C4  |                                                            |
|W Cas        |HD 5235; CCCS 38; EsB 13           |CAS|00 54.9|+58 34| 8.2|2.7 |C9e   |Period 405 days; 8.3-12.4m; Espin-Very Red                  |
|V 466 Cas    |SAO 22188; HD 236697               |CAS|01 19.9|+58 19| 8.7|2.1 |M1    |Period Irr; 9.8-10.7; In CL NGC 457 NE of center            |
|WW Cas       |CCCS 70                            |CAS|01 33.5|+57 45| 9.1|2.1 |N     |Period Irr; 9.1-11.7m                                       |
|BD +59 0274  |SAO 11826                          |CAS|01 33.5|+60 39| 8.5|1.98|      |in CL M 103; 9m comp* 60 sec PA 186 deg                     |
|X Cas        |CCCS 87; HD 236915                 |CAS|01 56.6|+59 16| 9.7|2.1 |Ne    |                                                            |
|V 623 Cas    |HD 19557; SAO 23858                |CAS|03 11.4|+57 54| 7.3|2.18|R5;C4 |1 degree SE of CL Berk 66                                   |
|V398 Cas     |HD 240275                          |CAS|23 22.5|+59 18| 8.7|2.9 |M5    |                                                            |
|V 353 Cas    |CCCS 3186                          |CAS|23 23.5|+56 10| 9.5|3.47|R8    |                                                            |
|DS Cas       |CCCS 3190                          |CAS|23 32.3|+62 07| 9.9|2.89|N;C5+ |                                                            |
|PZ Cas       |BD +60 2613                        |CAS|23 44.1|+61 47| 8.8|2.78|M3    |13mag companion 12 sec PA 100                               |
|R Cas        |HD 224490                          |CAS|23 58.4|+51 23| 6.8|2.2 |M7    |                                                            |
|HD 113842    |TYC 8989-641-1                     |CEN|13 07.5|-60 16| 7.2|3.6 |M0    |                                                            |
|UY Cen       |SAO 2244021                        |CEN|13 16.5|-44 42| 6.8|2.87|K5    |2.5 deg SW of Galaxy NGC 5128                               |
|R Cen        |HD 124601                          |CEN|14 16.6|-59 55| 6.4|2   |M5    |                                                            |
|HD 202380    |NSV 13609                          |CEP|21 12.8|+60 06| 6.6|2.4 |M3    |                                                            |
|SW Cep       |HD 204409                          |CEP|21 25.8|+62 34| 8.9|2.4 |M3    |                                                            |
|S Cep        |HD 206362; CCCS 3055               |CEP|21 35.2|+78 37| 9.4|2.7 |N     |Period 487 days; 7.4-12.9m                                  |
|Mu Cep       |SAO 33693; HD 206936               |CEP|21 43.5|+58 47| 4.2|2.35|M2    |Herschel's Garnet Star; famous; 3.7-5m; 12m comp* @ 40sec   |
|RW Cep       |HD 212466                          |CEP|22 23.1|+55 58| 6.7|2.3 |K2    |                                                            |
|W Cep        |HD 214369                          |CEP|22 36.5|+58 26| 7.8|1.9 |K0    |                                                            |
|DG Cep       |BD +60 2432; CCCS 3152             |CEP|22 44.2|+61 44| 8.3|2.7 |N;C7  |                                                            |
|AE Cet       |HD 1038; EsB 3                     |CET|00 14.6|-18 56| 4.4|1.7 |M3    |                                                            |
|Omicron Cet  |Mira; SAO 129825; HD 14386         |CET|02 19.3|-02 59| 2  |1.42|M6e   |Period 332 day; 2.0-10.1m                                   |
|HD 16115     |SAO 129989                         |CET|02 35.1|-09 27| 8.3|1.23|R3;C2 |5 min SW of Galaxy NGC 988                                  |
|CI Cha       |CPD -81 486                        |CHA|11 07.4|-81 48| 9  |3.4 |N     |                                                            |
|IV CMa       |CD -26:2983; CCCS 507              |CMA|06 23.7|-27 04| 8.6|2.86|N;C4  |                                                            |
|CD -26 2983  |NSV 2945                           |CMA|06 25.6|-27 04| 8.6|3.3 |C4    |                                                            |
|SAO 172106   |                                   |CMA|06 39.5|-30 02| 7.8|3.4 |K5    |Tycho data B-V 1.68                                         |
|GO CMa       |CCCS 579                           |CMA|06 46.3|-12 53| 9.2|3.35|N;C4  |                                                            |
|BD -20 1569  |SAO 172308                         |CMA|06 46.6|-20 35| 8.8|1.6 |M2    |in CL M 41; 10 min NE of center; 10m comp* 13 sec PA 212    |
|Omicron 1 CMa|SAO 172542; 16 CMa                 |CMA|06 54.0|-24 11| 3.9|1.8 |K3    |on N edge of CL Collinder 121                               |
|Sigma CMa    |HD 52877                           |CMA|07 01.7|-27 56| 3.5|1.7 |K7    |                                                            |
|W CMa        |SAO 152427; HD 54361               |CMA|07 08.1|-11 55| 6.4|2.35|N;C6  |Period Irr; 6.4-7.9m                                        |
|CD -31 4270  |SAO 197777                         |CMA|07 16.3|-32 03| 6.9|1.68|K4    |On S edge of CL Collinder 132                               |
|HD 56577     |SAO 173349; h 3945                 |CMA|07 16.6|-23 19| 4.8|1.7 |K3    |6th mag companion 27 sec PA 52                              |
|VY CMa       |SAO 173591; HD 58061               |CMA|07 23.0|-25 46| 9.5|2.06|M5    |Period Irr; 8.8-9.3m; within faint nebula                   |
|BE CMa       |HD 58195; BD -22 1850              |CMA|07 23.6|-22 58| 7  |2.1 |N     |2 min W of CL Ruperecht 17                                  |
|R CMi        |BD +10 1428; HD 54300              |CMI|07 08.7|+10 01| 7.4|2.7 |      |Variable 7.4-11.6m                                          |
|BE CMi       |HD 60826; HD 60826; CCCS 815       |CMI|07 36.5|+02 04| 8.7|2.46|N     |                                                            |
|W CMi        |SAO 115963; HD 63353               |CMI|07 48.8|+05 24| 8.7|2.19|R6;C7 |                                                            |
|V Cnc        |HD 70276                           |CNC|08 21.7|+17 17| 7.5|2.08|S2    |                                                            |
|XX Cnc       |SAO 80379                          |CNC|08 43.3|+20 36| 8.8|1.39|M3    |30 min NE of M 44                                           |
