|NAME         |OTHER NAMES                        |CON|RA J2K |DecJ2K|V   |B-V |SPEC. |NOTES                                                       |
|IV Mon       |CCCS 620                           |MON|06 56.4|+10 57|10  |3.49|N;C6  |                                                            |
|RV Mon       |SAO 114704; CCCS 632; HD 51620     |MON|06 58.4|+06 10| 7.3|2.74|N;C4  |Period 132 days; 7.0-7.9m                                   |
|V 614 Mon    |SAO 134049; BD -3 1685; CCCS 645   |MON|07 01.0|-03 15| 7.3|2.04|R6    |1 degree NNE of CL NGC 2311                                 |
|BD -8 1699   |SAO 134103                         |MON|07 02.8|-08 27| 8  |1.71|K4    |at South edge of CL M 50                                    |
|RY Mon       |BD -7 1742; CCCS 670               |MON|07 06.9|-07 33| 7.7|3.27|N;C5  |                                                            |
|V 758 Mon    |HD 57884                           |MON|07 23.1|-04 13| 9.3|2.19|R8    |                                                            |
|HD 58385     |SAO 134642                         |MON|07 25.2|-03 08| 8.6|2.3 |C6    |                                                            |
|SU Mon       |HD 62164; SAO 153273               |MON|07 42.3|-10 53| 8.3|3.1 |S3    |                                                            |
|RR Mus       |HD 101414                          |MUS|11 39.4|-72 34| 8.5|2.9 |N     |                                                            |
|My Mus       |HD 102584                          |MUS|11 48.3|-66 49| 4.7|1.5 |K4    |                                                            |
|RS Mus       |HD 107699                          |MUS|12 23.3|-75 30| 8.8|4   |C6    |                                                            |
|HD 145384    |NSV 7527                           |NOR|16 13.2|-53 40| 5.8|2   |M0    |                                                            |
|V Oph        |SAO 159916; HD 148182; CCCS 2334   |OPH|16 26.7|-12 26| 7.3|2.45|Ne    |Period 298 days; 7.3-11.6m                                  |
|V2105 Oph    |HD 148349                          |OPH|16 27.7|-07 36| 5.2|1.7 |M2    |                                                            |
|TW Oph       |HD 158377; BD -19:4644; CCCS 2449  |OPH|17 29.7|-19 28| 7  |2.1 |Nb    |Variable 7.0-9.0m; 10min north of Dark Neb B 268            |
|HD 161820    |SAO 122746                         |OPH|17 47.5|+05 36| 8.3|1.77|      |On eastern side of CL IC 4665                               |
|HD 163826    |NSV 9915; SAO122965                |OPH|17 58.1|+02 43| 7.3|1.76|K5    |                                                            |
|70 Oph       |SAO 123107                         |OPH|18 05.4|+02 30| 4.1|0.86|K0    |In Cl Mel 186; 4.3/6.2mag 3.6sec PA 149; Yel/Red-or pair    |
|HD 168413    |                                   |OPH|18 19.4|+00 51| 7.9|2   |K5    |                                                            |
|TY Oph       |HD 170831; CCCS 2602               |OPH|18 31.4|+04 23| 9  |4.27|N;C5  |                                                            |
|R Ori        |CCCS 273                           |ORI|04 59.0|+08 08| 9.1|3   |N     |                                                            |
|W Ori        |SAO 112406; HD 32736               |ORI|05 05.4|+01 11| 7  |3.45|N5;C5 |Period 212 days; 8.6-11.1m                                  |
|CI Ori       |HD 36167; SAO 132176               |ORI|05 29.7|-01 06| 4.7|1.85|K5    |                                                            |
|RT Ori       |BD +7 0929; CCCS 364; HD 36602     |ORI|05 33.2|+07 09| 8.2|2.97|N;C6  |Period 320 days; 8.0-8.9m                                   |
|Alpha Ori    |Betelgeuse; SAO 113271             |ORI|05 55.2|+07 42| 0.4|1.85|M2    |Period Irr; 0.4-1.3m; Betelgeuse                            |
|GK Ori       |CCCS 480                           |ORI|06 17.7|+08 31| 9.5|1.99|N;C5  |Period 236 days; 9.5-11m                                    |
|BL Ori       |SAO 95659; HD 44984; CCCS 508      |ORI|06 25.5|+14 43| 6.5|2.32|N0;C6 |Period Irr; 6.3-7.0m                                        |
|V Pav        |SAO 244964; HD 160435              |PAV|17 43.3|-57 40| 5.6|4.2 |N7    |Variable 5.6-7.5                                            |
|HD 203133    |Y Pav                              |PAV|21 24.3|-69 44| 6.4|2.8 |C7    |                                                            |
|RX Peg       |HD 208526; CCCS 3082               |PEG|21 56.4|+22 52| 7.7|3.18|N3    |Period 630 days; 8.0-9.5m                                   |
|TW Peg       |HD 209598                          |PEG|22 04.0|+28 18| 7.8|1.36|M6    |Period 956 days; 7.0-9.2m                                   |
|RZ Peg       |HD 209890; CCCS 3107               |PEG|22 05.9|+33 30| 7.6|3.15|Ne    |Variable 7.6-13.5m                                          |
|IV Peg       |CCCS 3151                          |PEG|22 44.9|+18 07| 9  |2.5 |Ne    |                                                            |
|XX Per       |HD 12401                           |PER|02 03.2|+55 14| 8.1|2.1 |M4    |                                                            |
|FZ Per       |SAO 23217                          |PER|02 20.9|+57 09| 7.9|2.12|M0    |Period 184 days; 9.8-10.8m; In between the DBL CL           |
|RS Per       |SAO 23257; HD 14488                |PER|02 22.4|+57 07| 8.8|2.3 |M4    |Period 245 days; 7.8-10m; In NGC 884 SE of core of DBL CL   |
|S Per        |BD +57 0552                        |PER|02 22.8|+58 35| 7.9|2.46|M3    |Period 795 days; 7.9-12m; Comp* 11m 69 arcsec PA 20deg      |
|BS Per       |CCCS 99                            |PER|02 26.9|+52 07| 9.6|2.1 |N     |                                                            |
|YZ Per       |HD 236979                          |PER|02 38.4|+57 03| 7.9|2.3 |M2    |                                                            |
|Rho Per      |SAO 56138                          |PER|03 05.2|+38 50| 3.4|1.5 |M4    |Variable 3.3-4.0m                                           |
|Y Per        |BD +43 0726; CCCS 143              |PER|03 27.7|+44 11| 8.1|2.46|R4e   |Period 252 days; 8.1-11.1m; in eq triangle of stars         |
|TYC 3325-48-1|                                   |PER|03 34.1|+51 25|11.1|2.93|M3    |in center of CL NGC 1348                                    |
|V 466 Per    |BD +51 0762; CCCS 155              |PER|03 41.5|+51 30| 8.4|4.25|N;C5  |3 degree NE of Alpha Per                                    |
|AC Per       |BD +44:788; CCCS 157               |PER|03 45.1|+44 47| 9.7|3.09|N;C6  |                                                            |
|FR Per       |BD +50:920; CCCS 183 H95           |PER|04 11.5|+51 20| 9.5|2.36|N;C3  |                                                            |
|SY Per       |BD +50:961; CCCS 194               |PER|04 16.6|+50 38| 9.5|2.45|Ne    |                                                            |
|GI Per       |CCCS 215                           |PER|04 29.7|+39 52| 8.9|4.5 |N;C7  |                                                            |
|W Pic        |CD -46 1969; SAO 217489            |PIC|05 43.2|-46 27| 7.8|3.5 |N     |                                                            |
|55 Psc       |SAO 74182; STF 46                  |PSC|00 39.9|+21 26| 5.4|1.16|F3    |5.4/8.4mag 6sec PA 194; Yellow and Deep Red-Dembowski       |
|Z Psc        |SAO 74593 ; HD 7561; CCCS 63       |PSC|01 16.1|+25 46| 6.7|2.61|N0;C7 |Period is 144 days; 6.7-7.9m                                |
|TX Psc       |19 Psc; SAO 128374; HD 223075      |PSC|23 46.4|+03 29| 5.3|2.6 |N0;C7 |Period Irr; 5.5-6.0m; In Circlet Psc; Brightest Carbon*     |
|L2 Pup       |SAO 218549                         |PUP|07 13.5|-44 38| 5.1|1.56|M5    |SiO maser; 11mag companion 62 sec                           |
|Pi Pup       |HD 56855; SAO 197795               |PUP|07 17.1|-37 06| 2.7|1.65|K3    |on S edge of CL Cr 135                                      |
|BD -16 1986  |SAO 152982                         |PUP|07 30.7|-17 06| 8.9|1.27|      |in CL Bochum 5                                              |
|KQ Pup       |SAO 153072; HD 60414               |PUP|07 33.8|-14 31| 4.8|1.36|M2    |15 min west of M 47                                         |
|BD -14 2039  |SAO 153158                         |PUP|07 37.1|-14 19| 7.9|1.66|      |on NE edge of CL M 47                                       |
|HD 63032     |SAO 198398                         |PUP|07 45.2|-27 58| 3.6|1.73|K2    |In center of CL NGC 2451                                    |
|IK Pup       |CCCS 1013                          |PUP|08 03.7|-23 50| 9  |2.83|N     |                                                            |
|RU Pup       |SAO 175215; CCCS 1046              |PUP|08 07.5|-22 55| 8.5|2.1 |N     |Period 425 days; 8.9-11.1m                                  |
|FK Pup       |SAO 198860; CCCS 1067              |PUP|08 09.2|-36 17| 8.5|4.52|N     |                                                            |
|IR Pup       |CCCS 1084                          |PUP|08 11.7|-21 13| 8.2|3.02|N     |                                                            |
|IV Pup       |CCCS 1111                          |PUP|08 16.8|-14 27| 9.3|2.83|N     |                                                            |
|AC Pup       |BD -15:2405; CCCS 1147             |PUP|08 22.7|-15 55| 8.9|2.1 |N;C5  |Period Irr; 8.9-9.6m                                        |
|YY Pyx       |CD -26:6080                        |PYX|08 28.2|-27 15| 9.1|4.52|N3    |                                                            |
|CCCS 1277    |TYC 6575-3240-1                    |PYX|08 43.9|-25 36| 9  |3.99|N     |                                                            |
|R Pyx        |CCCS 1285                          |PYX|08 45.5|-28 12| 9  |2.4 |R     |                                                            |
|UZ Pyx       |CD -29:6735; HD 75021              |PYX|08 46.6|-29 44| 7.6|2.09|R7    |                                                            |
|UW Pyx       |CD -33:5429; CCCS 1293             |PYX|08 47.0|-34 19| 9.9|4.12|N     |                                                            |
|R Scl        |SAO 193122; HD 8879; CCCS 68       |SCL|01 27.0|-32 33| 6.2|3.86|N;C6  |Period 363 days; 6.1-8.8m; deep red                         |
|Alpha Sco    |Antares; SAO 184415                |SCO|16 29.6|-26 26| 0.9|1.83|M1    |Period 173 days; 0.9-1.8m; Antares                          |
|SU Sco       |SAO 207911; CD -32 11900; CCCS 2353|SCO|16 40.6|-32 23| 7  |3.36|N     |Period 414 days; 8.0-9.4m                                   |
|V 901 Sco    |CCCS 2388                          |SCO|17 02.8|-32 40| 8  |1.73|Ne    |in SKY MAP PRO ver 10 this * is 10 mag                      |
|TT Sco       |HD 160205                          |SCO|17 40.5|-41 38| 8.2|3.8 |C4    |                                                            |
|BM Sco       |                                   |SCO|17 40.9|-32 13| 8.7|1.67|K3    |on western edge of CL M 6                                   |
|SX Sco       |SAO 209256; CCCS 2481              |SCO|17 47.5|-35 42| 7  |2.1 |N3    |Period Irr; 8.5-9.5m                                        |
|HD 162611    |SAO 209418                         |SCO|17 53.5|-34 24| 7.8|1.78|      |on northern edge of CL M 7                                  |
|TYC 5695-71-1|                                   |SCT|18 33.4|-10 26| 9.7|2.1 |      |in CL NGC 6649                                              |
|BD -10 4719  |                                   |SCT|18 33.8|-09 59| 9.1|2.18|      |15 min north of NGC 6649                                    |
|RX Sct       |HD 171804; CCCS 2620               |SCT|18 37.1|-07 36| 9  |2.86|N;C5  |Period Irr; 9.0-11m                                         |
|HD 173348    |SAO 142584                         |SCT|18 45.2|-09 24| 9.1|0.48|A0    |On eastern side of CL M 26; seen as Yellow-orange in 13 inch|
|S Sct        |SAO 192424; HD 174325; CCCS 2666   |SCT|18 50.3|-07 54| 6.3|3.09|N3    |Period 148 days; 7.3-9m                                     |
|T Sct        |HD 175377; CCCS 2678               |SCT|18 55.5|-08 11| 8.8|2.7 |N3;C7 |Period 122 days; 8.9-10m                                    |
|HD 166105    |NSV 10285                          |SER|18 09.7|-15 17| 7.9|2.2 |M1    |                                                            |
|FO Ser       |SAO 161327; CCCS 2567              |SER|18 19.4|-15 37| 8.2|1.84|R6    |Variable 8.2-8.5m                                           |
|DR Ser       |BD +5:3950; CCCS 2661              |SER|18 47.4|+05 27| 9.5|2.45|N;C5  |                                                            |
|W Sex        |HD 85319; CCCS 1560                |SEX|09 51.0|-02 02| 9.7|2.45|N     |Period 40 days; 9.0-10m                                     |
|X Sge        |BD +20 4417; HD 190606             |SGE|20 05.1|+20 39| 8.7|3.83|N3    |Period 196 days; 7.0-8.4m; famous                           |
|VX Sgr       |BD -22 4575                        |SGR|10 08.1|-22 13| 8.8|2.16|M5    |50 min NE of CL M 21                                        |
|SZ Sgr       |SAO 160795; HD 161208              |SGR|17 44.9|-18 39| 8.2|2.3 |N+A3  |Period 100 days; 9.0-10m                                    |
|V 781 Sgr    |HD 316667; CCCS 2499               |SGR|17 55.9|-28 02| 9  |3.2 |N0    |                                                            |
|h 5033       |CD -30 15035; PZ 6; HD 163755      |SGR|17 59.1|-30 15| 5  |1.65|K5    |5/6.8mag 6sec PA 105; Red and Red pair-John Herschel        |
|HD 164562    |SAO 186161                         |SGR|18 02.9|-27 50| 6.7|1.2 |K4    |near Dark Neb B 86; also DBL* B2428 13m 8.9sec PA 27        |
|HD 167976    |                                   |SGR|18 18.4|-18 29| 7.4|2   |K2    |                                                            |
|HD 167976    |BD -18 4895; SAO 161294            |SGR|18 18.4|-18 29| 7.4|2.03|M4    |In Star Cloud M 24; 4 min SW of CL NGC 6603                 |
|V4028 Sgr    |HD 168574                          |SGR|18 21.5|-24 55| 6.3|1.9 |M3    |                                                            |
|SS Sgr       |HD 170495; BD -16 4904; CCCS 2595  |SGR|18 30.4|-16 54| 9  |3.82|N     |Period Irr; 9.0-10m; 30 min west of CL NGC 6645             |
|HD 170820    |SAO 161576                         |SGR|18 32.2|-19 07| 7.4|1.62|K0    |On eastern side of CL M 25; seen as medium orange in 13 inch|
|BD -19 5053  |SAO 161576                         |SGR|18 32.2|-19 07| 7.4|1.49|K0    |on edge of CL M 25                                          |
|HD 174707    |SAO 187394                         |SGR|18 52.6|-20 32| 8.9|1.97|      |On SW edge of CL Collinder 394                              |
|V 1942 Sgr   |SAO 162465; HD 180953; CCCS 2721   |SGR|19 19.2|-15 55| 7.2|2.17|N2;C6 |Period Irr; 6.4-7.1m; near Cl NGC 6774                      |
|AQ Sgr       |HD 184283; CCCS 2744               |SGR|19 34.3|-16 22| 7.7|3.5 |N3;C7 |Period 200 days; 9.1-10.9m                                  |
|UW Sgr       |SAO 162965; CCCS 2785              |SGR|19 46.4|-18 09| 8.8|2.6 |N     |                                                            |
|HD 26748     |SAO 26748                          |TAU|04 14.3|+14 33| 7.5|1.98|K0    |                                                            |
|Phi Tau      |SAO 76558; SHJ 40                  |TAU|04 20.4|+27 21| 4.9|1.5 |K1    |5.1/7.5mag 48sec PA256; Light red and cerulean blue-Smyth   |
|HD 27482     |SAO 76563                          |TAU|04 21.2|+27 21| 7.3|2.1 |K5    |                                                            |
|HD 29496     |SAO 94056                          |TAU|04 39.4|+16 45| 8.4|2.09|      |50 min ENE of Aldebaran; E edge of Hyades                   |
|TT Tau       |SAO 76788; CCCS 254                |TAU|04 51.5|+28 32| 8.1|2.3 |N3;C7 |Period 166 days; 8.0-10m                                    |
|CE Tau       |119 Tau; SAO 94628; HD 36389       |TAU|05 33.2|+18 36| 4.7|2.1 |M     |Period 165 days; 4.7-4.9m; binocular object                 |
|TU Tau       |CCCS 390; HD 38218                 |TAU|05 45.2|+24 25| 8.7|2.1 |N2+A  |                                                            |
|CP Tau       |HD 247224; CCCS 394                |TAU|05 45.4|+15 31| 9.9|2.69|N     |                                                            |
|Y Tau        |SAO 77516; CCCS 393; HD 38307      |TAU|05 45.7|+20 42| 6.9|3.03|N2    |Period 241 days; 7.1-9.5m                                   |
|HD 38451     |SAO 77543                          |TAU|05 46.8|+21 12| 8.8|0.21|      |10min SE STF 787; J.R. Hind said it changed color R to Y    |
|X Tra        |SAO 253062; HD 134453              |TRA|15 14.3|-70 05| 5.8|3.38|C5    |                                                            |
|RT UMa       |BD +52 1378; CCCS 1412             |UMA|09 18.4|+51 24| 8.6|3.69|N5    |Period Irr; 8.6-9.6m                                        |
|VY UMa       |SAO 15274; HD 92839; CCCS 1736     |UMA|10 45.1|+67 25| 6  |2.44|N0    |Period Irr; 5.9-6.5m                                        |
|S UMa        |HD 110813                          |UMA|12 43.9|+61 06| 8.1|2.1 |S1    |                                                            |
|HD 65424     |SAO 219177                         |VEL|07 56.4|-49 59| 7.7|3.56|C5    |                                                            |
|KZ Vel       |HD 85891                           |VEL|09 53.1|-55 01| 8.7|2.2 |K5    |                                                            |
|X Vel        |HD 86111                           |VEL|09 55.5|-41 35| 7.2|4.3 |N     |                                                            |
|GZ Vel       |SAO 237916                         |VEL|10 19.6|-55 02| 3.4|1.62|K3    |                                                            |
|SS Vir       |HD 108105                          |VIR|12 25.2|+00 46| 6  |4.2 |Ne    |Period 355 days; 6-9.6m; Galxy NGC 4385 13min SSE           |
|RU Vir       |HD 111166; CCCS 2032               |VIR|12 47.3|+04 09| 9  |4.5 |R3e   |Variable 9-12m                                              |
|SAO 158240   |BD -17 3961                        |VIR|13 55.7|-18 15| 7.8|1.85|C2    |                                                            |
|HD 178690    |SAO 86859                          |VUL|19 08.6|+24 11| 6.9|1.97|K2    |                                                            |
|CG Vul       |CCCS 2717                          |VUL|19 16.9|+21 55| 9  |4.28|N;C4  |                                                            |
|HD 183556    |BD +19 4017; SAO 104839; STF 2521  |VUL|19 26.5|+19 53| 5.8|1.55|M0    |In CL Cr 399; 2 10th mag comp* 27 sec and 74 sec            |
|EP Vul       |                                   |VUL|19 33.3|+23 39| 9.8|2.16|      |                                                            |
|HD 187238    |                                   |VUL|19 48.2|+22 46| 7.1|2   |K3    |                                                            |
|NR Vul       |BD +24 3902                        |VUL|19 50.2|+24 55| 9.1|3.09|M1    |                                                            |
|BD Vul       |CCCS 2916                          |VUL|20 37.3|+26 29| 7.7|3.74|Ne    |Period 430 days; 9.3-12.7m                                  |
